id,borehole_id,temperature,depth
2350,227,-18.649,30.0
2351,227,-18.619,35.0
2352,227,-18.59,40.0
2353,227,-18.558,45.0
2354,227,-18.53,50.0
2355,227,-18.5,57.0
2356,227,-18.487,60.0
2357,227,-18.45,70.0
2358,227,-18.419,80.0
2359,227,-18.376,90.0
2360,227,-18.328,97.5
2361,227,-18.027,125.0
2362,227,-17.719,150.0
2363,227,-17.307,175.0
2364,227,-16.829,200.0
2365,227,-16.307,225.0
2366,227,-15.753,250.0
2367,227,-15.18,275.0
2368,227,-14.593,300.0
2369,228,-20.8843,10.0
2370,228,-21.1775,20.0
2371,228,-21.2803,30.0
2372,228,-21.2987,40.0
2373,228,-21.2584,50.0
2374,228,-21.1756,60.0
2375,228,-21.0797,70.0
2376,228,-20.9678,80.0
2377,228,-20.8403,90.0
2378,228,-20.7042,100.0
2379,228,-20.5652,110.0
2380,228,-20.411,120.0
2381,228,-20.2663,130.0
2382,228,-20.0978,140.0
2383,228,-19.91,150.0
2384,228,-19.7572,160.0
2385,228,-19.6137,170.0
2386,228,-19.5767,176.0
2387,229,-11.93,10.0
2388,229,-12.53,20.0
2389,229,-12.67,30.0
2390,229,-12.75,40.0
2391,229,-12.75,50.0
2392,229,-12.7,60.0
2393,229,-12.51,70.0
2394,229,-12.51,80.0
2395,229,-12.5,90.0
2396,229,-12.48,100.0
2397,229,-12.4,120.0
2398,229,-12.34,130.0
2399,229,-12.26,140.0
2400,229,-12.13,150.0
2401,229,-12.11,160.0
2402,229,-12.06,176.0
2403,230,-22.416,1.32
2404,230,-23.122,2.24
2405,230,-22.729,3.15
2406,230,-22.032,4.06
2407,230,-21.359,4.72
2408,230,-20.791,5.33
2409,230,-19.666,6.1
2410,230,-18.688,7.62
2411,230,-17.921,9.14
2412,230,-17.441,10.67
2413,230,-17.166,12.19
2414,230,-17.164,13.72
2415,230,-17.068,15.24
2416,230,-17.084,16.76
2417,230,-17.16,18.29
2418,230,-17.11,19.81
2419,230,-17.116,21.34
2420,230,-17.102,22.87
2421,230,-17.088,24.38
2422,230,-17.029,30.48
2423,230,-16.958,38.1
2424,230,-16.912,45.72
2425,230,-16.86,53.34
2426,230,-16.808,60.96
2427,230,-16.731,68.58
2428,230,-16.665,76.2
2429,230,-16.574,83.82
2430,230,-16.484,91.44
2431,230,-16.374,99.06
2432,230,-16.236,106.68
2433,230,-16.11,114.3
2434,230,-15.96,121.16
2435,231,-18.5,9.0
2436,231,-16.7,19.0
2437,231,-15.7,29.0
2438,231,-14.9,40.0
2439,231,-13.5,70.0
2440,231,-12.5,94.0
2441,231,-11.5,121.0
2442,231,-10.0,146.0
2443,231,-9.0,178.0
2444,231,-8.0,201.0
2445,231,-6.9,226.0
2446,231,-5.1,246.0
2447,231,-3.0,267.0
2448,231,-1.5,288.0
2449,232,-21.0,10.0
2450,232,-16.0,345.0
2451,233,-16.664,80.0
2452,233,-16.845,90.0
2453,233,-16.994,100.0
2454,233,-17.116,110.0
2455,233,-17.214,120.0
2456,233,-17.277,120.0
2457,233,-17.28,130.0
2458,233,-17.335,140.0
2459,233,-17.385,140.0
2460,233,-17.353,150.0
2461,233,-17.356,160.0
2462,233,-17.434,160.0
2463,233,-17.364,180.0
2464,233,-17.214,200.0
2465,233,-17.013,220.0
2466,233,-16.777,240.0
2467,233,-16.505,260.0
2468,233,-16.222,280.0
2469,233,-15.93,300.0
2470,233,-15.626,320.0
2471,233,-15.333,340.0
2472,233,-15.035,360.0
2473,233,-14.737,380.0
2474,233,-14.44,400.0
2475,233,-14.277,410.0
2476,233,-14.146,420.0
2477,234,-22.46,13.04
2478,234,-22.74,23.04
2479,234,-22.76,33.04
2480,234,-22.73,38.04
2481,234,-22.7,43.04
2482,234,-22.69,48.04
2483,234,-22.64,53.04
2484,234,-22.62,58.04
2485,234,-22.58,63.04
2486,234,-22.54,68.04
2487,234,-22.515,73.04
2488,234,-22.47,78.04
2489,234,-22.415,83.04
2490,234,-22.39,88.04
2491,234,-22.34,93.04
2492,234,-22.3,98.04
2493,234,-22.246,103.04
2494,234,-22.19,108.04
2495,234,-22.14,113.04
2496,234,-22.086,118.04
2497,234,-22.03,123.04
2498,234,-21.97,128.04
2499,234,-21.85,138.04
2500,234,-21.73,148.04
2501,234,-21.61,158.04
2502,234,-21.46,168.04
2503,234,-21.32,178.04
2504,234,-21.18,188.04
2505,234,-21.03,198.04
2506,234,-20.88,208.04
2507,234,-20.73,218.04
2508,235,-23.154227,8.80597402
2509,235,-23.036104,13.0517499
2510,235,-23.002101,20.2766594
2511,235,-23.001725,29.2033172
2512,235,-23.035012,38.9815653
2513,235,-23.026175,48.7580228
2514,235,-22.975162,59.8079266
2515,235,-22.91585,67.8819197
2516,235,-22.847988,78.9311073
2517,235,-22.763312,89.1294208
2518,235,-22.644974,98.4761439
2519,235,-22.501308,109.09703
2520,235,-22.37451,119.293553
2521,235,-22.214013,129.488643
2522,235,-22.036703,138.832859
2523,235,-21.867799,148.602513
2524,235,-21.673586,159.22125
2525,235,-21.471002,168.564392
2526,235,-21.276771,179.608208
2527,235,-21.057302,189.800791
2528,235,-20.854701,199.569012
2529,235,-20.618365,210.185959
2530,235,-20.390507,219.528026
2531,235,-20.162613,229.720252
2532,235,-19.917871,239.911761
2533,235,-19.673128,250.103271
2534,235,-19.428367,260.719859
2535,235,-19.183643,270.486289
2536,235,-18.922069,280.252003
2537,235,-18.652088,289.592281
2538,235,-18.415806,298.93399
2539,236,-22.803542,9.59283164
2540,236,-22.930142,15.5143062
2541,236,-23.098954,23.9745763
2542,236,-23.141292,32.4455647
2543,236,-23.133074,42.6157526
2544,236,-23.099553,52.3643561
2545,236,-23.049177,62.5381168
2546,236,-22.973524,73.5614772
2547,236,-22.889413,83.314368
2548,236,-22.796861,92.6442453
2549,236,-22.6706,102.824437
2550,236,-22.527484,113.429786
2551,236,-22.359056,123.189822
2552,236,-22.215923,132.947715
2553,236,-22.022208,143.133623
2554,236,-21.862238,154.164129
2555,236,-21.668515,163.926309
2556,236,-21.483214,173.264046
2557,236,-21.272636,183.451383
2558,236,-21.062059,193.63872
2559,236,-20.851472,203.402329
2560,236,-20.632453,213.166653
2561,237,-23.99,2.6
2562,237,-22.41,7.6
2563,237,-21.88,12.6
2564,237,-21.76,17.6
2565,237,-21.61,22.6
2566,237,-21.52,27.6
2567,237,-21.39,32.6
2568,237,-21.28,37.6
2569,237,-21.09,42.6
2570,237,-21.0,47.6
2571,237,-20.9,52.6
2572,237,-20.8,57.6
2573,237,-20.68,62.6
2574,237,-20.55,67.6
2575,237,-20.44,72.6
2576,237,-20.33,77.6
2577,237,-20.22,82.6
2578,237,-20.09,87.6
2579,237,-19.97,92.6
2580,237,-19.84,97.6
2581,237,-19.71,102.6
2582,237,-19.6,107.6
2583,237,-19.48,112.6
2584,237,-19.34,117.6
2585,237,-19.23,122.6
2586,237,-19.1,127.6
2587,238,-22.3,11.2
2588,238,-22.26,16.2
2589,238,-22.16,21.2
2590,238,-22.01,26.2
2591,238,-21.88,31.2
2592,238,-21.75,36.2
2593,238,-21.62,41.2
2594,238,-21.51,46.2
2595,238,-21.42,51.2
2596,238,-21.28,56.2
2597,238,-21.18,61.2
2598,238,-21.06,66.2
2599,238,-20.94,71.2
2600,238,-20.83,76.2
2601,238,-20.71,81.2
2602,238,-20.56,86.2
2603,238,-20.43,91.2
2604,238,-20.29,96.2
2605,238,-20.15,101.2
2606,238,-20.03,106.2
2607,238,-19.87,111.2
2608,238,-19.73,116.2
2609,238,-19.58,121.2
2610,238,-19.43,126.2
2611,238,-19.28,131.2
2612,238,-19.14,136.2
2613,238,-19.05,141.2
2614,239,-22.35,11.94
2615,239,-22.3,16.94
2616,239,-22.16,21.94
2617,239,-22.0,26.94
2618,239,-21.85,31.94
2619,239,-21.75,36.94
2620,239,-21.61,41.94
2621,239,-21.48,46.94
2622,239,-21.37,51.94
2623,239,-21.27,56.94
2624,239,-21.15,61.94
2625,239,-21.03,66.94
2626,239,-20.91,71.94
2627,239,-20.79,76.94
2628,239,-20.64,81.94
2629,239,-20.53,86.94
