id,author,year,type,title,url,language,container_title,volume,issue,page,version,editor,collection_title,collection_number,publisher
carturan2023a,Luca Carturan | Fabrizio De Blasi | Roberto Dinale | Gianfranco Dragà | Paolo Gabrielli | Volkmar Mair | Roberto Seppi | David Tonidandel | Thomas Zanoner | Tiziana Lazzarina Zendrini | Giancarlo Dalla Fontana,2023,article-journal,"Modern air, englacial and permafrost temperatures at high altitude on Mt Ortles (3905 m a.s.l.), in the eastern European Alps",https://doi.org/10.5194/essd-15-4661-2023,en,Earth System Science Data,15,10,4661-4688,,,,,Copernicus GmbH
chernov2015,Р. А. Чернов [R. A. Chernov] | Т. В. Васильева [T. V. Vasilyeva] | А. В. Кудиков [A. V. Kudikov],2015,article-journal,Температурный режим поверхностного слоя ледника Восточный Грёнфьорд (Западный Шпицберген) [Temperature regime of upper layer of the glacier East Grönfjordbreen (West Svalbard)],https://doi.org/10.15356/2076-6734-2015-3-38-46,ru,Лёд и Снег [Ice and Snow],131,3,38,,,,,
clarke1976,Garry K. C. Clarke | Gary T. Jarvis,1976,article-journal,"Post-surge temperatures in Steele Glacier, Yukon Territory, Canada",https://doi.org/10.3189/S0022143000031580,en,Journal of Glaciology,16,74,261-268,,,,,
clarke1984,Garry K. C. Clarke | Sam G. Collins | David E. Thompson,1984,article-journal,"Flow, thermal structure, and subglacial conditions of a surge-type glacier",https://doi.org/10.1139/e84-024,en,Canadian Journal of Earth Sciences,21,2,232-240,,,,,
clarke1987,Garry K. C. Clarke | David A. Fischer | Edwin D. Waddington,1987,paper-conference,Wind pumping: A potentially significant heat source in ice sheets,https://iahs.info/uploads/dms/7236.169-180-170-Clarke.pdf,en,"The Physical Basis of Ice Sheet Modelling (Proceedings of the Vancouver Symposium, August 1987)",,,169-180,,,,,International Association of Scientific Hydrology
classen1970,David Farley Classen,1970,thesis,"Thermal drilling and deep ice-temperature measurements on the Fox Glacier, Yukon",https://doi.org/10.14288/1.0302225,en,,,,,,,,,University of British Columbia
classen1977,D. F. Classen,1977,article-journal,Temperature profiles for the Barnes Ice Cap surge zone,https://doi.org/10.3189/S0022143000021079,en,Journal of Glaciology,18,80,391-405,,,,,
copland2003,Luke Copland | Martin J. Sharp | Peter Nienow | Robert G. Bingham,2003,article-journal,The distribution of basal motion beneath a High Arctic polythermal glacier,https://doi.org/10.3189/172756503781830511,en,Journal of Glaciology,49,166,407-414,,,,,
cryomap2023,Unknown,2023,dataset,cryomap: Firn Temperature database,,en,,,,,20230609,,,,"Eidgenössische Technische Hochschule (ETH) Zürich > Versuchsanstalt für Wasserbau, Hydrologie und Glaziologie (VAW)"
darms2009,Gian Andrea Darms,2009,thesis,Firntemperaturen auf dem Colle Gnifetti: Zusammenstellung und Analyse bestehender und neuer Temperaturprofile [Snow temperatures on Colle Gnifetti: Compilation and analysis of existing and new temperature profiles],https://uzb.swisscovery.slsp.ch/discovery/delivery/41SLSP_UZB:UZB/12464857880005508,de,,,,,,,,,Universität Zürich > Geographisches Institut
davaa2016,G. Davaa,2016,speech,Glacier monitoring in Mongolia,https://globalcryospherewatch.org/meetings/salekhard2016/presentations/3.1.3.e-G.Davaa-Mongolia%20cryospheric%20activities.pdf,en,Global Cryosphere Watch (GCW) 2nd Asia CryoNet Meeting,,,,,,,,
davis1967,Robert M. Davis,1967,report,"Approach roads, Greenland, 1960-1964",https://erdc-library.erdc.dren.mil/jspui/handle/11681/5708,en,,,,,,,,,U.S. Cold Regions Research and Engineering Laboratory (CRREL)
delcourt2013,Charlotte Delcourt | Brice Van Liefferinge | Matt Nolan | Frank Pattyn,2013,article-journal,The climate memory of an Arctic polythermal glacier,https://doi.org/10.3189/2013JoG12J109,en,Journal of Glaciology,59,218,1084-1092,,,,,
diez2013,Anja Diez | Olaf Eisen | Coen Hofstede | Pascal Bohleber | Ulrich Polom,2013,article-journal,Joint interpretation of explosive and vibroseismic surveys on cold firn for the investigation of ice properties,https://doi.org/10.3189/2013AoG64A200,en,Annals of Glaciology,54,64,201-210,,,,,Cambridge University Press
dikikh1965,А. Н. Диких [A. N. Dikikh],1965,chapter,температурном режиме ледников плоских вершин (на примере ледника Григорьева) [The temperature regime of flat-top glaciers (using Grigoriev Glacier as an example)],,ru,Работы Тянь-Шаньской физико-географической станции [Glaciological studies in the Tien Shan],,,32-35,,,Гляциологические исследования на Тянь-Шане [Works of the Tien Shan physical-geographical station],11,
du2013,Du Jiankuo | He Yuanqing | Li Shuang | Wang Shijin | Niu Hewen | Xin Huijuan | Pu Tao,2013,article-journal,Mass balance and near-surface ice temperature structure of Baishui Glacier No.1 in Mt. Yulong,https://doi.org/10.1007/s11442-013-1036-4,en,Journal of Geographical Sciences,23,4,668-678,,,,,
eisen2009,O. Eisen | A. Bauder | M. Lüthi | P. Riesen | M. Funk,2009,article-journal,"Deducing the thermal structure in the tongue of Gornergletscher, Switzerland, from radar surveys and borehole measurements",https://doi.org/10.3189/172756409789097612,en,Annals of Glaciology,50,51,63-70,,,,,
flowers2011,G. E. Flowers | N. Roux | S. Pimentel | C. G. Schoof,2011,article-journal,Present dynamics and future prognosis of a slowly surging glacier,https://doi.org/10.5194/tc-5-299-2011,en,The Cryosphere,5,1,299-313,,,,,Copernicus GmbH
flowers2022,Gwenn Flowers (0000-0002-3574-9324),2022,personal-communication,,,en,,,,,,,,,
fritzsche2002,Diedrich Fritzsche | Frank Wilhelms | Lev M. Savatyugin | Jean Francis Pinglot | Hanno Meyer | Hans-Wolfgang Hubberten | Heinz Miller,2002,article-journal,"A new deep ice core from Akademii Nauk Ice Cap, Severnaya Zemlya, Eurasian Arctic: first results",https://doi.org/10.3189/172756402781816645,en,Annals of Glaciology,35,,25-28,,,,,
fujii2002,Yoshiyuki Fujii | Takao Kameda | Fumihiko Nishio | Keisuke Suzuki | Mika Kohno | Fumio Nakazawa | Jun Uetake | Lev M. Savatyugin | Serguei M. Arkhipov | Ivan A. Ponomarev | Nikolay N. Mikhailov,2002,article-journal,"Outline of Japan-Russia joint Glaciological Research on Sofiyskiy Glacier, Russian Altai Mountains in 2000 and 2001",https://kitami-it.repo.nii.ac.jp/records/6854,en,Bulletin of Glaciological Research,19,,53-58,,,,,日本雪氷学会 [Japanese Society of Snow and Ice]
gabrielli2010,P. Gabrielli | L. Carturan | J. Gabrieli | R. Dinale | K. Krainer | H. Hausmann | M. Davis | V. Zagorodnov | R. Seppi | C. Barbante | G. Dalla Fontana | L. G. Thompson,2010,article-journal,"Atmospheric warming threatens the untapped glacial archive of Ortles Mountain, South Tyrol",https://doi.org/10.3189/002214310794457263,en,Journal of Glaciology,56,199,843-853,,,,,
gabrielli2012,Paolo Gabrielli | Carlo Barbante | Luca Carturan | Giulio Cozzi | Giancarlo Dalla Fontana | Roberto Dinale | Gianfranco Dragà | Jacopo Gabrieli | Natalie Kehrwald | Volkmar Mair | Vladimir Mikhalenko | Gianni Piffer | Mirko Rinaldi | Roberto Seppi | Andrea Spolaor | Lonnie G. Thompson | David Tonidandel,2012,article-journal,Discovery of cold ice in a new drilling site in the eastern European Alps,http://www.glaciologia.it/wp-content/uploads/FullText/full_text_35_1/10_GFDQ_35_1_Gabrielli_101_105.pdf,en,Geografia Fisica e Dinamica Quaternaria [Physical Geography and Quaternary Dynamics],35,1,101-105,,,,,Comitato Glaciologico Italiano [Italian Glaciological Committee]
gabrielli2016,Paolo Gabrielli | Carlo Barbante | Giuliano Bertagna | Michele Bertó | Daniel Binder | Alberto Carton | Luca Carturan | Federico Cazorzi | Giulio Cozzi | Giancarlo Dalla Fontana | Mary Davis | Fabrizio De Blasi | Roberto Dinale | Gianfranco Dragà | Giuliano Dreossi | Daniela Festi | Massimo Frezzotti | Jacopo Gabrieli | Stephan P. Galos | Patrick Ginot | Petra Heidenwolf | Theo M. Jenk | Natalie Kehrwald | Donald Kenny | Olivier Magand | Volkmar Mair | Vladimir Mikhalenko | Ping Nan Lin | Klaus Oeggl | Gianni Piffer | Mirko Rinaldi | Ulrich Schotterer | Margit Schwikowski | Roberto Seppi | Andrea Spolaor | Barbara Stenni | David Tonidandel | Chiara Uglietti | Victor Zagorodnov | Thomas Zanoner | Piero Zennaro,2016,article-journal,"Age of the Mt. Ortles ice cores, the Tyrolean Iceman and glaciation of the highest summit of South Tyrol since the Northern Hemisphere Climatic Optimum",https://doi.org/10.5194/tc-10-2779-2016,en,The Cryosphere,10,6,2779-2797,,,,,Copernicus GmbH
gaggeler1983,H. Gäggeler | H. R. von Gunten | E. Rössler | H. Oeschger | U. Schotterer,1983,article-journal,"210Pb-dating of cold alpine firn/ice cores from Colle Gnifetti, Switzerland",https://doi.org/10.3189/S0022143000005220,en,Journal of Glaciology,29,101,165-177,,,,,
gagliardini2023,Olivier Gagliardini (0000-0001-9162-3518),2023,personal-communication,,,en,,,,,,,,,
gastaldello2024,Marcus Gastaldello,2024,personal-communication,,,en,,,,,,,,,
gilbert2010,A. Gilbert | P. Wagnon | C. Vincent | P. Ginot | M. Funk,2010,article-journal,"Atmospheric warming at a high‐elevation tropical site revealed by englacial temperatures at Illimani, Bolivia (6340 m above sea level, 16°S, 67°W)",https://doi.org/10.1029/2009JD012961,en,Journal of Geophysical Research: Atmospheres,115,D10,,,,,,
gilbert2012,A. Gilbert | C. Vincent | P. Wagnon | E. Thibert | A. Rabatel,2012,article-journal,"The influence of snow cover thickness on the thermal regime of Tête Rousse Glacier (Mont Blanc range, 3200 m a.s.l.): Consequences for outburst flood hazards and glacier response to climate change",https://doi.org/10.1029/2011JF002258,en,Journal of Geophysical Research: Earth Surface,117,F4,,,,,,American Geophysical Union
gilbert2013,A. Gilbert | C. Vincent,2013,article-journal,Atmospheric temperature changes over the 20th century at very high elevations in the European Alps from englacial temperatures,https://doi.org/10.1002/grl.50401,en,Geophysical Research Letters,40,10,2102-2108,,,,,
gilbert2015,A. Gilbert | C. Vincent | O. Gagliardini | J. Krug | E. Berthier,2015,article-journal,Assessment of thermal change in cold avalanching glaciers in relation to climate warming,https://doi.org/10.1002/2015GL064838,en,Geophysical Research Letters,42,15,6382-6390,,,,,
gilbert2016,A. Gilbert | G. E. Flowers | G. H. Miller | B. T. Rabus | W. Van Wychen | A. S. Gardner | L. Copland,2016,article-journal,"Sensitivity of Barnes Ice Cap, Baffin Island, Canada, to climate state and internal dynamics",https://doi.org/10.1002/2016JF003839,en,Journal of Geophysical Research: Earth Surface,121,8,1516-1539,,,,,
gilbert2020,Adrien Gilbert | Anna Sinisalo | Tika R. Gurung | Koji Fujita | Sudan B. Maharjan | Tenzing C. Sherpa | Takehiro Fukuda,2020,article-journal,The influence of water percolation through crevasses on the thermal regime of a Himalayan mountain glacier,https://doi.org/10.5194/tc-14-1273-2020,en,The Cryosphere,14,4,1273-1288,,,,,
ginot2006,P. Ginot | C. Kull | U. Schotterer | M. Schwikowski | H. W. Gäggeler,2006,article-journal,Glacier mass balance reconstruction by sublimation induced enrichment of chemical species on Cerro Tapado (Chilean Andes),https://doi.org/10.5194/cp-2-21-2006,en,Climate of the Past,2,1,21-30,,,,,
goel2017,Vikram Goel | Joel Brown | Kenichi Matsuoka,2017,dataset,"In-situ tempetatures in the top 20 m of firn near the summit of Blåskimen Island, Western Dronning Maud Land",https://doi.org/10.21334/NPOLAR.2017.3845E964,en,,,,,,,,,Norwegian Polar Institute
goel2017a,Vikram Goel | Joel Brown | Kenichi Matsuoka,2017,article-journal,"Glaciological settings and recent mass balance of Blåskimen Island in Dronning Maud Land, Antarctica",https://doi.org/10.5194/tc-11-2883-2017,en,The Cryosphere,11,6,2883-2896,,,,,Copernicus GmbH
gurung2022,Tika Ram Gurung (0000-0003-4287-6150),2022,personal-communication,,,en,,,,,,,,,
haeberli1976,Wilfried Haeberli,1976,article-journal,Eistemperaturen in den Alpen [Ice temperatures in the Alps],,de,Zeitschrift für Gletscherkunde und Glazialgeologie,11,2,203-220,,,,,
haeberli1985,Wilfried Haeberli | Jürg Alean,1985,article-journal,Temperature and accumulation of high altitude firn in the Alps,https://doi.org/10.3189/1985AoG6-1-161-163,en,Annals of Glaciology,6,,161-163,,,,,
haeberli1991,Wilfried Haeberli | Martin Funk,1991,article-journal,"Borehole temperatures at the Colle Gnifetti core-drilling site (Monte Rosa, Swiss Alps)",https://doi.org/10.3189/S0022143000042775,en,Journal of Glaciology,37,125,37-46,,,,,
haeberli2004,Wilfried Haeberli | Regula Frauenfelder | Andreas Kääb | Stephan Wagner,2004,article-journal,Characteristics and potential climatic significance of “miniature ice caps” (crest- and cornice-type low-altitude ice archives),https://doi.org/10.3189/172756504781830330,en,Journal of Glaciology,50,168,129-136,,,,,
hammer1995,Claus Uffe Hammer,1995,chapter,Ice core drilling,,en,"Report on activities and results 1993-1995 for Hans Tausen Ice Cap Project - Glacier and Climate Change Research, North Greenland",,,16-28,,Niels Reeh,NMRs (Nordisk Minister Råd) miljøforskningsprogram - klimaforskning,,Dansk Polar Center
han1995,韩建康 [Han Jiankang] | 温家洪 [Wen Jiahong] | 尚新春 [Shang Xinchun] | 金会军 [Jin Huijun],1995,article-journal,"南极洲乔治王岛柯林斯冰帽的温度分布 [Temperature distribution in Collins Ice Cap, King George Island, Antarctica]",https://journal.chinare.org.cn/CN/Y1995/V7/I1/62,zh,极地研究 [Chinese Journal of Polar Research],7,1,62-69,,,,,
han2015,한영철 [Han Yeongcheol] | 전성준 [Jun Seong Joon] | Morihiro Miyahara | 이훈규 [Lee Hun-Gyu] | 안진호 [Ahn Jinho] | 정지웅 [Woong Chung Ji] | 허순도 [Hur Soon Do] | 홍상범 [Hong Sang Bum],2015,article-journal,"2014-2015 하계 남극 북빅토리아랜드 스틱스 빙하(Styx glacier) 천부 시추 [Shallow ice-core drilling on Styx Glacier, northern Victoria Land, Antarctica in the 2014-2015 summer]",https://doi.org/10.14770/jgsk.2015.51.3.343,ko,Journal of the Geological Society of Korea,51,3,343,,,,,
harrison1963,J. Harrison,1963,map,"Expedition area, Axel Heiberg Island, Canadian Arctic Archipelago",,en,Jacobsen-McGill Arctic Research Expedition 1959-1962: Preliminary report 1961-1962,,,,,,Axel Heiberg Island Research Reports,,McGill University
harrison1972,W. D. Harrison,1972,article-journal,Temperature of a temperate glacier,https://doi.org/10.3189/S0022143000022450,en,Journal of Glaciology,11,61,15-29,,,,,
harrison1975,W. D. Harrison | L. R. Mayo | D. C. Trabant,1975,chapter,"Temperature measurements on Black Rapids Glacier, Alaska, 1973",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=9dbf174017ca2945dec1f6266164b9707cdd33f3,en,"Climate of the Arctic: Twenty-Fourth Alaska Science Conference, August 15-17, 1973: Fairbanks",,,350-352,,Gunter Weller | S. A. Bowling,,,University of Alaska > Geophysical Institute
herren2013,Pierre-Alain Herren | Anja Eichler | Horst Machguth | Tatyana Papina | Leonhard Tobler | Alexander Zapf | Margit Schwikowski,2013,article-journal,The onset of Neoglaciation 6000 years ago in western Mongolia revealed by an ice core from the Tsambagarav mountain range,https://doi.org/10.1016/j.quascirev.2013.02.025,en,Quaternary Science Reviews,69,,59-68,,,,,
hodgkins1999,Richard Hodgkins | Jon Ove Hagen | Svein-Erik Hamran,1999,article-journal,"20th century mass balance and thermal regime change at Scott Turnerbreen, Svalbard",https://doi.org/10.3189/172756499781821986,en,Annals of Glaciology,28,,216-220,,,,,
hoelzle2009,Martin Hoelzle,2009,chapter,Englacial temperature,https://doi.glamos.ch/pubs/glrep/glrep_125-126.html,en,The Swiss Glaciers 2003/04 and 2004/05,,,71-74,,Andreas Bauder | Roger Rüegg,Glaciological Report,125-126,Swiss Academy of Sciences (SCNAT) > Cryospheric Commission (EKK)
