id,author,year,type,title,url,language,container_title,volume,issue,page,version,editor,collection_title,collection_number,publisher
kawamura1991,Toshiyuki Kawamura | Takao Kameda | Kaoru Izumi,1991,article-journal,"Preliminary results of structural analyses of an 85.6m deep ice core retrieved from Hoghetta Ice Dome in Northern Spitsbergen, Svalbard",https://kitami-it.repo.nii.ac.jp/records/6923,en,Bulletin of Glacier Research,,9,77-83,,,,,日本雪氷学会 [Japanese Society of Snow and Ice]
keck2001,Lothar Keck,2001,thesis,Climate significance of stable isotope records from Alpine ice cores,https://archiv.ub.uni-heidelberg.de/volltextserver/1837/1/summary.pdf,en,,,,,,,,,Ruprecht Karl University of Heidelberg > Combined Faculties for the Natural Sciences and for Mathematics
khalzan2022,Purevdagva Khalzan | Akiko Sakai | Koji Fujita,2022,article-journal,"Mass balance of four Mongolian glaciers: in-situ measurements, long-term reconstruction and sensitivity analysis",https://doi.org/10.3389/feart.2021.785306,en,Frontiers in Earth Science,9,,785306,,,,,
khmelevskoy1963,И. Ф. Хмелевской [I. F. Khmelevskoy],1963,book,"Температура снега, фирна и льда: Стационарные наблюдения на станции Барьер Сомнений и маршрутные исследования [Temperature of snow, firn and ice: Stationary observations at the station Barier Somneiy and en route researches]",,ru,,2,,,,,Материалы Гляциологических Исследований: Новая Земля [Data of Glaciological Studies: Novaya Zemlya],,Акаде́мия нау́к СССР > Институт Географии [Academy of Sciences of the USSR > Institute of Geography]
khmelevskoy1964,И. Ф. Хмелевской [I. F. Khmelevskoy],1964,book,"Температура снега, фирна и льда: Стационарные наблюдения на станции Ледораздельная [Temperature of snow, firn and ice: Stationary observations at the station Ledorazdelnaya]",,ru,,1,,,,,Материалы Гляциологических Исследований: Новая Земля [Data of Glaciological Studies: Novaya Zemlya],,Акаде́мия нау́к СССР > Институт Географии [Academy of Sciences of the USSR > Institute of Geography]
khromova2022,Т. Е. Хромова [T. E. Khromova],2022,dataset,Каталог Ледников России [Catalog of Glaciers of Russia],https://www.glacru.ru,ru,,,,,,,,,
kinnard2006,Christophe Kinnard | Christian M. Zdanowicz | David A. Fisher | Cameron P. Wake,2006,article-journal,Calibration of an ice-core glaciochemical (sea-salt) record with sea-ice variability in the Canadian Arctic,https://doi.org/10.3189/172756406781811349,en,Annals of Glaciology,44,,383-390,,,,,
kinnard2020,Christophe Kinnard | Patrick Ginot | Arzhan Surazakov | Shelley MacDonell | Lindsey Nicholson | Nicolas Patris | Antoine Rabatel | Andres Rivera | Francisco A. Squeo,2020,article-journal,"Mass balance and climate history of a high-altitude glacier, desert Andes of Chile",https://doi.org/10.3389/feart.2020.00040,en,Frontiers in Earth Science,8,,,,,,,
koerner1968,R. M. Koerner,1968,article-journal,"Fabric analysis of a core from the Meighen Ice Cap, Northwest Territories, Canada",https://doi.org/10.3189/S0022143000020621,en,Journal of Glaciology,7,51,421-430,,,,,
kotlyakov1985,В. М. Котляков [V. M. Kotlyakov],1985,chapter,Глубинное строение ледников [Deep structure of glaciers],http://geolibrary.ru/sites/default/files/2020-10/Glyatsiologiya_Shpitsbergena1985.pdf#page=71,ru,Гляциология Шпицбергена [Glaciology of Spitsbergen],,,132-144,,,,,Наука
kotlyakov2004,V. M. Kotlyakov | S. M. Arkhipov | K. A. Henderson | O. V. Nagornov,2004,article-journal,Deep drilling of glaciers in Eurasian Arctic as a source of paleoclimatic records,https://doi.org/10.1016/j.quascirev.2003.12.013,en,Quaternary Science Reviews,23,11-13,1371-1390,,,,,
kubyshkin2006,N. V. Kubyshkin | I. V. Buzin | A. A. Skutin | A. F. Glazovsky,2006,paper-conference,Determination of the area of generation of big icebergs in the Barents Sea – temperature distribution analysis,https://onepetro.org/ISOPEIOPEC/proceedings-abstract/ISOPE06/All-ISOPE06/9744,en,Proceedings of the Sixteenth (2006) International Offshore and Polar Engineering Conference,,,,,,,,The International Society of Offshore and Polar Engineers
kutuzov2012,С. С. Кутузов [S. S. Kutuzov],2012,article-journal,Изменение площади и объёма ледников хр. Терскей Ала-Тоо во второй половине XX в. [Changes in glacier area and volume in Terskey Ala-Too Range in the second half of the 20th century],https://doi.org/10.15356/2076-6734-2012-1-5-14,ru,Лёд и Снег [Ice and Snow],52,1,5-14,,,,,
laternser1992,Martin Laternser,1992,thesis,Firntemperaturmessungen in den Schweizer Alpen,,de,,,,,,,,,Eidgenössische Technische Hochschule (ETH) Zürich
lee2019,Ian Lee,2019,dataset,"Borehole tilt sensor data for Jarvis Glacier, Alaska (2017-2018)",https://doi.org/10.18739/A2348GG12,en,,,,,,,,,Arctic Data Center
lee2020,Ian R. Lee | Robert L. Hawley | Steven Bernsen | Seth W. Campbell | David Clemens-Sewall | Christopher C. Gerbi | Kate Hruby,2020,article-journal,"A novel tilt sensor for studying ice deformation: application to streaming ice on Jarvis Glacier, Alaska",https://doi.org/10.1017/jog.2019.84,en,Journal of Glaciology,66,255,74-82,,,,,Cambridge University Press
lemark2010,Andreas Lemark,2010,thesis,A study of the Flade Isblink ice cap using a simple ice ﬂow model,https://nbi.ku.dk/english/theses/masters-theses/andreas-lemark,en,,,,,,,,,University of Copenhagen
li2004,李真 [Li Zhen] | 姚檀栋 [Yao Tandong] | 田立德 [Tian Lide] | 徐柏青 [Xu Baiqing] | 邬光剑 [Wu Guangjian] | 朱国才,2004,article-journal,慕士塔格冰川海拔7000m处冰芯钻孔温度 [Ice-core borehole temperature at 7000 m on the Muztagh Glacier],https://doi.org/10.7522/j.issn.1000-0240.2004.0047,zh,冰川冻土 [Journal of Glaciology and Geocryology],26,3,284-288,,,,,
li2011,李忠勤 [Li Zhongqin] | 李慧林 [Li Huilin] | 陈亚宁 [Chen Yaning],2011,article-journal,"Mechanisms and simulation of accelerated shrinkage of continental glaciers: A case study of Urumqi Glacier No. 1 in eastern Tianshan, Central Asia",https://doi.org/10.1007/s12583-011-0194-5,en,Journal of Earth Science,22,4,423-430,,,,,
liu2009,Liu Yaping | Hou Shugui | Wang Yetang | Song Linlin,2009,article-journal,Distribution of borehole temperature at four high-altitude alpine glaciers in Central Asia,https://doi.org/10.1007/s11629-009-0254-9,en,Journal of Mountain Science,6,3,221-227,,,,,
liu2012,刘时银 [Liu Shiyin] | 郭万钦 [Guo Wanqin] | 许君利 [Xu Junli],2012,dataset,中国第二次冰川编目数据集 [The second glacier inventory dataset of China],https://doi.org/10.3972/glacier.001.2013.db,zh,,,,,1.0,,,,国家青藏高原数据中心 [National Tibetan Plateau Data Center]
liu2016,Lin Liu | Liming Jiang | Yafei Sun | Hansheng Wang | Chaolu Yi | Houtse Hsu,2016,article-journal,"Morphometric controls on glacier mass balance of the Puruogangri Ice Field, central Tibetan Plateau",https://doi.org/10.3390/w8110496,en,Water,8,11,496,,,,,Multidisciplinary Digital Publishing Institute
lliboutry1976,L. Lliboutry | M. Briat | M. Creseveur | M. Pourchet,1976,article-journal,15m deep temperatures in the glaciers of Mont Blanc (French Alps),https://doi.org/10.3189/S0022143000031531,en,Journal of Glaciology,16,74,197-203,,,,,
luthi1999,Martin Peter Lüthi,1999,thesis,Experimental and numerical investigation of a firn covered cold glacier and a polythermal ice stream: case studies at Colle Gnifetti and Jakobshavns Isbræ,https://doi.org/10.3929/ethz-a-003884174,en,,,,,,,,,Eidgenossischen Technischen Hochschule (ETH) Zürich
macheret1985,Ю. Я. Мачерет [Y. Y. Macheret] | В. С. Загороднов [V. S. Zagorodnov] | Е. В. Василенко [E. V. Vasilenko] | А. И. Громыко [A. I. Gromyko] | А. Б. Журавлев [A. B. Zhuravlev],1985,article-journal,Исследование природы внутренних радиолокационных отражения на субполярном леднике [On the nature of internal radio echo returns from a subpolar glacier],http://geolibrary.ru/sites/default/files/2020-12/54.pdf#page=121,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],54,,120-130,,,,,
mankoff2022,Kenneth Mankoff,2022,dataset,Greenland Ice Sheet borehole temperature profiles,https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/tree/55c7a0a12f2d925fd3fdb6a70ab82e53bd131b39,en,,,,,,,,,GEUS Glaciology and Climate
marchenko2017,Sergey Marchenko | Veijo A. Pohjola | Rickard Pettersson | Ward J. J. Van Pelt | Carmen P. Vega | Horst Machguth | Carl E. Bøggild | Elisabeth Isaksson,2017,article-journal,"A plot-scale study of firn stratigraphy at Lomonosovfonna, Svalbard, using ice cores, borehole video and GPR surveys in 2012–14",https://doi.org/10.1017/jog.2016.118,en,Journal of Glaciology,63,237,67-78,,,,,Cambridge University Press
markl1977,Von G. Markl | H. P. Wagner,1977,article-journal,Messungen von Eis- und Firntemperaturen am Hintereisferner (Öztaler Alpen) [Measurements of ice and firn temperatures on the Hintereisferner (Ötztal Alps)],https://www.uibk.ac.at/projects/station-hintereis-opal-data/publications/pdf/markl_wagner_1977_zgg.pdf,de,Zeitschrift für Gletscherkunde und Glazialgeologie,13,1-2,261-265,,,,,
masiokas2020,M. H. Masiokas | A. Rabatel | A. Rivera | L. Ruiz | P. Pitte | J. L. Ceballos | G. Barcaza | A. Soruco | F. Bown | E. Berthier | I. Dussaillant | S. MacDonell,2020,article-journal,A review of the current state and recent changes of the Andean cryosphere,https://doi.org/10.3389/feart.2020.00099,en,Frontiers in Earth Science,8,,,,,,,
matsuoka1999,Kenichi Matsuoka | Renji Naruse,1999,article-journal,"Mass balance features derived from a firn core at Hielo Patagónico Norte, South America",https://doi.org/10.1080/15230430.1999.12003318,en,"Arctic, Antarctic, and Alpine Research",31,4,333-340,,,,,Taylor & Francis
mattea2020,Enrico Mattea,2020,thesis,"Measuring and modelling changes in the firn at Colle Gnifetti, 4400 m a.s.l., Swiss Alps",https://bigweb.unifr.ch/Science/Geosciences/GeographyTechnical/Secretary/Pub/Publications/Geography/SelectedBachelorMasterThesis/2020/Mattea_E._(2020)_M_Measuring_modelling_changes_Colle_Gnifetti.pdf,en,,,,,,,,,University of Fribourg > Department of Geosciences
mayewski2014,Paul Mayewski,2014,report,Colle Gnifetti ice core (KCC) progress report (year one)—Arcadia ice core proposal: Initiatives on the science of the human past,https://digitalcommons.library.umaine.edu/orsp_reports/29,en,,,,,,,University of Maine Office of Research Administration: Grant Reports,29,University of Maine
mikhalenko2005,В. Н. Михаленко [V. N. Mikhalenko] | С. С. Kутузов [S. S. Kutuzov] | И. И. Лаврентьев [I. I. Lavrentiev] | М. Г. Kунахович [M. G. Kunakhovich] | Л. Г. Томпсон [L. G. Thompson],2005,article-journal,Исследования западного ледникового плато Эльбруса: результаты и перспективы [Studies of the western Elbrus glacial plateau: results and prospects],http://geolibrary.ru/sites/default/files/2021-01/99.pdf#page=187,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],99,,185-190,,,,,
mikhalenko2005a,В. Н. Михаленко [V. N. Mikhalenko] | С. С. Кутузов [S. S. Kutuzov] | Ф. Ф. Файзрахманов [F. F. Faizrakhmanov] | О. В. Нагорнов [O. V. Nagornov] | Л. Г. Томпсон [L. G. Thompson] | М. Г. Кунахович [M. G. Kunakhovich] | С. М. Архипов [S. M. Arkhipov] | А. Н. Диких [A. N. Dikikh] | Р. Усубалиев [R. Usubaliev],2005,article-journal,Сокращение оледенения Тянь-Шаня в XIX – начале XXI вв.: результаты керновоrо бурения и измерения температуры в скважинах [Reduction of glaciation in the Tien Shan in the 19th – early 21st centuries: results of core drilling and temperature measurements in wells],https://geolibrary.ru/sites/default/files/2021-01/98.pdf#page=177,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],98,,175-182,,,,,
mikhalenko2015,V. Mikhalenko | S. Sokratov | S. Kutuzov | P. Ginot | M. Legrand | S. Preunkert | I. Lavrentiev | A. Kozachek | A. Ekaykin | X. Faïn | S. Lim | U. Schotterer | V. Lipenkov | P. Toropov,2015,article-journal,"Investigation of a deep ice core from the Elbrus western plateau, the Caucasus, Russia",https://doi.org/10.5194/tc-9-2253-2015,en,The Cryosphere,9,6,2253-2270,,,,,
mikhalenko2021,В. Н. Михаленко [V. N. Mikhalenko] | С. С. Кутузов [S. S. Kutuzov] | И. И. Лаврентьев [I. I. Lavrentiev] | П. А. Торопов [P. A. Toropov] | Д. О. Владимирова [D. O. Vladimirova] | А. А. Абрамов [A. A. Abramov] | В. В. Мацковский [V. V. Matskovsky],2021,article-journal,"Гляциоклиматические исследования Института географии РАН в кратере Восточной вершины Эльбруса в 2020 г. [Glacioclimatological investigations of the Institute of Geography, RAS, in the crater of Eastern Summit of Mt. Elbrus in 2020]",https://doi.org/10.31857/S2076673421010078,ru,Лёд и Снег [Ice and Snow],61,1,149-160,,,,,
miles2018,Katie E. Miles | Bryn Hubbard | Duncan J. Quincey | Evan S. Miles | Tenzing C. Sherpa | Ann V. Rowan | Samuel H. Doyle,2018,article-journal,Polythermal structure of a Himalayan debris-covered glacier revealed by borehole thermometry,https://doi.org/10.1038/s41598-018-34327-5,en,Scientific Reports,8,1,16825,,,,,
miles2019,Katie E. Miles | Evan S. Miles | Bryn Hubbard | Duncan J. Quincey | Ann V. Rowan | Mark Pallett,2019,article-journal,Instruments and methods: hot-water borehole drilling at a high-elevation debris-covered glacier,https://doi.org/10.1017/jog.2019.49,en,Journal of Glaciology,65,253,822-832,,,,,
morev1981,В. А. Морев [V. A. Morev] | В. А. Пухов [V. A. Pukhov],1981,chapter,Экспериментальные работы по бурению холодных покровных ледников термобуровыми снарядами ААНИИ [Experimental work on drilling cold cover glaciers using AARI thermal drilling equipment],,ru,Исследования ледникового покрова и перигляциала Северной Земли [Studies of the ice cover and periglacial of Severnaya Zemlya],,,64-68,,,Труды ААНИИ [Proceedings of AARI],367,Арктического и Антарктического Научно-Исследовательского Института [Arctic and Antarctic Research Institute]
morev1988,В. А. Морев [V. A. Morev] | О. Л. Клементьев [O. L. Klementiev] | Л. Н. Маневский [L. N. Manevsky] | Ю. В. Райковский [Yu. V. Raykovsky] | А. И. Толстой [A. I. Tolstoy] | В. М. Яковлев [V. M. Yakovlev],1988,chapter,Гляцио-буровые работы на Леднике Вавилова в 1979—1985 гг. [Glacio-drilling work on the Vavilov Glacier in 1979-1985],,ru,Географические и гляциологические в полярных странах [Geographical and glaciological studies in polar countries],,,25-32,,E. S. Korotkevich | V. N. Petrov,,,Гидрометеоиздат
muller1961,Fritz Müller,1961,chapter,Englacial temperature measurements,,en,"Jacobsen-McGill Arctic Research Expedition to Axel Heiberg Island, Queen Elizabeth Islands: Preliminary Report of 1959-1960",,,87-99,,Barbara S. Müller,,,McGill University
muller1963,Fritz Müller,1963,chapter,Englacial temperature measurements,,en,Jacobsen-McGill Arctic Research Expedition 1959-1962: Preliminary report 1961-1962,,,81-89,,,Axel Heiberg Island Research Reports,,McGill University
muller1963a,Fritz Müller,1963,chapter,Accumulation studies,,en,Jacobsen-McGill Arctic Research Expedition 1959-1962: Preliminary report 1961-1962,,,7-25,,,Axel Heiberg Island Research Reports,,McGill University
muller1976,Fritz Müller,1976,article-journal,On the thermal regime of a high-Arctic valley glacier,https://doi.org/10.3189/S0022143000031476,en,Journal of Glaciology,16,74,119-133,,,,,
naftz1993,David L. Naftz | Mark E. Smith,1993,article-journal,"Ice thickness, ablation, and other glaciological measurements on Upper Fremont Glacier, Wyoming",https://doi.org/10.1080/02723646.1993.10642488,en,Physical Geography,14,4,404-414,,,,,
nicholls1993,K. W. Nicholls | J. G. Paren,1993,article-journal,Extending the Antarctic meteorological record using ice-sheet temperature profiles,https://doi.org/10.1175/1520-0442(1993)006<0141:ETAMRU>2.0.CO;2,en,Journal of Climate,6,1,141-150,,,,,
nikitin1986,С. А. Никитин [S. A. Nikitin],1986,article-journal,Температурный режим ледника Малый Актру в период абляции [Temperature regime of Maly Aktru Glacier during the ablation period],https://vital.lib.tsu.ru/vital/access/manager/Repository/vtls:000070022,ru,Гляциология Сибири: Сборник статей [Glaciology of Siberia: Collection of articles],3,18,81-84,,,,,Издательство Томского университета
odegard1992,Rune Strand Ødegârd | Svein-Erik Hamran | Per Helge Bø | Bernd Etzelmuller | Geir Vatne | Johan Ludvig Sollid,1992,article-journal,"Thermal regime of a valley glacier, Erikbreen, northern Spitsbergen",https://doi.org/10.3402/polar.v11i2.6718,en,Polar Research,11,2,69-79,,,,,
odegard1997,R. S. Ødegård | J. O. Hagen | S.-E. Hamranw,1997,article-journal,"Comparison of radio-echo sounding (30–1000 MHz) and high-resolution borehole-temperature measurements at Finsterwalderbreen, southern Spitsbergen, Svalbard",https://doi.org/10.3189/S0260305500012271,en,Annals of Glaciology,24,,262-267,,,,,
oeschger1977,H. Oeschger | U. Schotterer | B. Stauffer | W. Haeberli | H. Röthlisberger,1977,article-journal,First results from alpine core drilling projects,,en,Zeitschrift für Gletchserkunde und Glazialgeologie,13,1-2,193-208,,,,,
olivier2003,Susanne Olivier | Margit Schwikowski | Sabina Brütsch | Stella Eyrikh | Heinz W. Gäggeler | Martin Lüthi | Tatyana Papina | Matthias Saurer | Ulrich Schotterer | Leonhard Tobler | Edith Vogel,2003,article-journal,"Glaciochemical investigation of an ice core from Belukha Glacier, Siberian Altai",https://doi.org/10.1029/2003GL018290,en,Geophysical Research Letters,30,19,,,,,,
orvig1963,Svenn Orvig | Robert W. Mason,1963,paper-conference,"Ice temperatures and heat flux, McCall Glacier, Alaska",https://iahs.info/uploads/dms/061021.pdf,en,General Assembly of Berkeley: Commission of Snow and Ice,61,,181-188,,,,,International Association of Scientific Hydrology
palosuo1960,Erkki Palosuo | Valter Schytt,1960,article-journal,Till Nordaustlandet med den svenska glaciologiska expeditionen [To Nordaustlandet with the Swedish glaciological expedition],,sv,Eripainos Terrasta,72,1,1-19,,,,,Suomalaisen Kirjallisuuden Kirjapaino Oy [Finnish Literary Printing House Ltd.]
palosuo1987,Erkki Palosuo,1987,article-journal,"A study of snow and ice temperatures on Vestfonna, Svalbard, 1956, 1957 and 1958",https://doi.org/10.2307/521356,en,"Geografiska Annaler: Series A, Physical Geography",69,3-4,431-437,,,,,
paterson1968,W. S. B. Paterson,1968,paper-conference,A temperature profile through the Meighen Ice Cap,https://iahs.info/uploads/dms/079041.pdf,en,General Assembly of Bern: Commission of Snow and Ice,79,,440-449,,,,,International Association of Scientific Hydrology
paterson1971,W. S. B. Paterson,1971,article-journal,"Temperature measurements in Athabasca Glacier, Alberta, Canada",https://doi.org/10.3189/S0022143000022036,en,Journal of Glaciology,10,60,339-349,,,,,
paterson1972,W. S. B. Paterson,1972,article-journal,"Temperature distribution in the upper layers of the ablation area of Athabasca Glacier, Alberta, Canada",https://doi.org/10.3189/S0022143000022462,en,Journal of Glaciology,11,61,31-41,,,,,
paterson1978,W. S. B. Paterson | G. K. C. Clarke,1978,article-journal,"Comparison of theoretical and observed temperature profiles in Devon Island Ice Cap, Canada",https://doi.org/10.1111/j.1365-246X.1978.tb05931.x,en,Geophysical Journal International,55,3,615-632,,,,,
pettersson2003,Rickard Pettersson | Peter Jansson | Per Holmlund,2003,article-journal,"Cold surface layer thinning on Storglaciären, Sweden, observed by repeated ground penetrating radar surveys",https://doi.org/10.1029/2003JF000024,en,Journal of Geophysical Research: Earth Surface,108,F1,,,,,,
plam1962,М. Я. Плам [M. Ya. Plam],1962,article-journal,Температура фирна и льда [Temperature of firn and ice],http://geolibrary.ru/sites/default/files/2023-10/%D0%AD%D0%BB%D1%8C%D0%B1%D1%80%D1%83%D1%81.%20%D0%A2%D0%B5%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0%20%D1%81%D0%BD%D0%B5%D0%B3%D0%B0%20%D0%B8%20%D0%BB%D1%8C%D0%B4%D0%B0.%20%D0%A1%D0%BD%D0%B5%D0%B6%D0%BD%D1%8B%D0%B9%20%D0%BF%D0%BE%D0%BA%D1%80%D0%BE%D0%B2_0.pdf#page=5,ru,Материалы Гляциологических Исследований: Эльбрус [Data of Glaciological Studies: Elbrus],,,5-59,,,,,
prinz2022,Rainer Prinz (0000-0003-4032-773X),2022,personal-communication,,,en,,,,,,,,,
psareva1968,Т. В. Псарёва [T. V. Psareva],1968,article-journal,Экспериментальная 150-метровая буровая скважина на Леднике Безенги [Experimental 150-meter borehole on the Bezengi Glacier],http://geolibrary.ru/sites/default/files/2020-11/14.pdf#page=93,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],14,,93-97,,,,,
pu1995,蒲健辰 [Pu Jianchen] | 姚檀栋 [Yao Tandong] | 张寅生 [Zhang Yinsheng] | 濑古胜基 [Katsuki Seko] | 藤田耕史 [Koji Fujita],1995,article-journal,冬克玛底冰川和煤矿冰川的物质平衡(1992/1993年) [Mass balance on the Dongkemadi and Meikuang glaciers in 1992/1993],https://doi.org/10.7522/j.issn.1000-0240.1995.0018,zh,冰川冻土 [Journal of Glaciology and Geocryology],17,2,138-143,,,,,
pu2002,蒲健辰 [Pu Jianchen] | 姚檀栋 [Yao Tandong] | 王宁练 [Wang Ninglian] | 段克勤 [Duan Keqin] | 朱国才 [Zhu Guocai] | 杨梅学 [Yang Meixue],2002,article-journal,青藏高原普若岗日冰原80m深冰层温度变化分析 [The distribution of 80-m ice temperature in Puruogangri Ice Field on the Tibetan Plateau],https://doi.org/10.7522/j.issn.1000-0240.2002.0053,zh,冰川冻土 [Journal of Glaciology and Geocryology],24,3,282-286,,,,,
qiu1983,仇家琪 [Qiu Jiaqi] | 邓养鑫 [Deng Yangxin],1983,article-journal,"天山博格达峰地区的雪崩 [Snow Avalanche in Bogda Region, Tian Shan]",https://doi.org/10.7522/j.issn.1000-0240.1983.0055,zh,冰川冻土 [Journal of Glaciology and Geocryology],5,3,227-234,,,,,
rabus2002,Bernhard T. Rabus | Keith A. Echelmeyer,2002,article-journal,Increase of 10 m ice temperature: climate warming or glacier thinning?,https://doi.org/10.3189/172756502781831430,en,Journal of Glaciology,48,161,279-286,,,,,
razumeiko1960,Н. Г. Разумейко [N. G. Razumeiko],1960,book,Температура снега и льда: Стационарные исследования на куполе Чурляниса [Snow and ice temperature: Stationary studies of the Churlyanis Cupola],,ru,,1,,,,,Материалы Гляциологических Исследований: Земля Франца-Иосифа [Data of Glaciological Studies: Franz Josef Land],,Акаде́мия нау́к СССР > Институт Географии [Academy of Sciences of the USSR > Institute of Geography]
razumeiko1963,Н. Г. Разумейко [N. G. Razumeiko],1963,book,Температура снега и льда: Стационарные наблюдения на леднике Седова. Маршрутное термозондирование льда на куполах Чурляниса и Джэксона и леднике Седова [Snow and ice temperature: Stationary observations on the Sedov Glacier. En route thermosoundings of ice of the Churlyanis and Jackson cupolas and on the Sedov Glacier],,ru,,2,,,,,Материалы Гляциологических Исследований: Земля Франца-Иосифа [Data of Glaciological Studies: Franz Josef Land],,Акаде́мия нау́к СССР > Институт Географии [Academy of Sciences of the USSR > Institute of Geography]
reeh1995,Niels Reeh,1995,chapter,Summary of activities and preliminary results,,en,"Report on activities and results 1993-1995 for Hans Tausen Ice Cap Project - Glacier and Climate Change Research, North Greenland",,,7-13,,Niels Reeh,NMRs (Nordisk Minister Råd) miljøforskningsprogram - klimaforskning,,Dansk Polar Center
reeh2001,Niels Reeh | Ole B. Olesen | Henrik Højmark Thomsen | Wolfgang Starzer | Carl Egede Bøggild,2001,article-journal,"Mass balance parameterisation for the Hans Tausen Iskappe, Peary Land, North Greenland",https://doi.org/10.7146/moggeosci.v39i.140219,en,Meddelelser om Grønland. Geoscience,39,,,,,,,
ren1981,任贾文 [Ren Jiawen] | 黄茂桓 [Huang Maohuan],1981,article-journal,"冰川活动层温度状况的传热学分析——以祁连山羊龙河5号冰川为例 [Heat transfer within glacial active layer —— Taking No. 5 Glacier, Yanglong River, Qilian Shan as an example]",https://doi.org/10.7522/j.issn.1000-0240.1981.0042,zh,冰川冻土 [Journal of Glaciology and Geocryology],3,3,23-28,,,,,
ren1983,任贾文 [Ren Jiawen],1983,article-journal,"天山博格达峰扇状分流冰川的冰层温度 [The ice temperature of Bogda Fan-Shaped Diffluence Glacier in Bogda Area, Tian Shan]",https://doi.org/10.7522/j.issn.1000-0240.1983.0040,zh,冰川冻土 [Journal of Glaciology and Geocryology],5,3,83-89,,,,,
ren1985,任贾文 [Ren Jiawen] | 张金华 [Zhang Jinhua] | 黄茂桓 [Huang Maohuan],1985,article-journal,"天山乌鲁木齐河源1号冰川温度研究 [A study of ice temperature in No. 1 Glacier in the Urumqi River headwaters, Tianshan]",https://doi.org/10.7522/j.issn.1000-0240.1985.0019,zh,冰川冻土 [Journal of Glaciology and Geocryology],7,2,141-152,,,,,
ren1990,任贾文 [Ren Jiawen],1990,article-journal,"南极长城站附近地区冰川的温度状况 [Temperature regime of the glaciers in the neighbourhood of Great Wall Station, Antarctica]",https://journal.chinare.org.cn/CN/Y1990/V2/I2/22,zh,极地研究 [Chinese Journal of Polar Research],2,2,22-27,,,,,
rundle1965,Arthur S. Rundle,1965,report,"Glaciological investigations on Sukkertoppen Ice Cap, Southwest Greenland, summer 1964",http://hdl.handle.net/1811/51380,en,,,,,,,Institute of Polar Studies Report,14,The Ohio State University Research Foundation
ryser2013,C. Ryser | M. Lüthi | N. Blindow | S. Suckro | M. Funk | A. Bauder,2013,article-journal,Cold ice in the ablation zone: Its relation to glacier hydrology and ice water content,https://doi.org/10.1029/2012JF002526,en,Journal of Geophysical Research: Earth Surface,118,2,693-705,,,,,
savatyugin1988,А. М. Саватюгин [A. M. Savatyugin] | В. С. Загороднов [V. S. Zagorodnov],1988,article-journal,Гляциологические исследования на ледниковом куполе Академии Наук [Glaciological studies on the Akademiya Nauk Ice Dome],http://geolibrary.ru/sites/default/files/2020-12/61.pdf#page=229,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],61,,228-228,,,,,
savatyugin2001,Л. М. Саватюгин [L. M. Savatyugin] | С. М. Архипов [S. M. Arkhipov] | Н. И. Васильев [N. I. Vasiliev] | Р. Н. Вострецов [R. N. Vostretsov] | Д. Фритцше [D. Fritzsche] | Х. Миллер [H. Miller],2001,article-journal,Российско-германские гляциологические исследования на Северной Земле и прилегающих островах в 2000 г. [Russian-German glaciological studies on Severnaya Zemlya and adjacent islands in 2000],http://geolibrary.ru/sites/default/files/2021-01/91.pdf#page=152,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],91,,150-162,,,,,
schwerzmann2006,Aurel A. Schwerzmann | Heinz Blatter | Martin Funk,2006,thesis,Borehole analysis and flow modeling of firn-covered cold glaciers,https://doi.org/10.3929/ethz-a-005114924,en,,,,,,,,,Eidgenössische Technische Hochschule (ETH) Zürich
schwerzmann2006a,Aurel Schwerzmann | Martin Funk | Heinz Blatter | Martin Lüthi | Margit Schwikowski | Anne Palmer,2006,article-journal,"A method to reconstruct past accumulation rates in Alpine firn regions: A study on Fiescherhorn, Swiss Alps",https://doi.org/10.1029/2005JF000283,en,Journal of Geophysical Research: Earth Surface,111,F1,,,,,,
schwikowski2013,M. Schwikowski | M. Schläppi | P. Santibañez | A. Rivera | G. Casassa,2013,article-journal,"Net accumulation rates derived from ice core stable isotope records of Pío XI Glacier, Southern Patagonia Icefield",https://doi.org/10.5194/tc-7-1635-2013,en,The Cryosphere,7,5,1635-1644,,,,,
schytt1964,Valter Schytt,1964,article-journal,"Scientific results of the Swedish glaciological expedition to Nordaustlandet, Spitsbergen, 1957 and 1958",https://doi.org/10.1080/20014422.1964.11881042,en,Geografiska Annaler,46,3,243-281,,,,,
schytt1966,Valter Schytt,1966,article-journal,"Notes on glaciological activities in Kebnekaise, Sweden during 1965",https://doi.org/10.1080/04353676.1966.11879728,en,"Geografiska Annaler: Series A, Physical Geography",48,1,43-50,,,,,
schytt1968,Valter Schytt,1968,article-journal,"Notes on glaciological activities in Kebnekaise, Sweden during 1966 and 1967",https://doi.org/10.1080/04353676.1968.11879777,en,"Geografiska Annaler: Series A, Physical Geography",50,2,111-120,,,,,
