borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrium,notes
44,1,bjornsson1996,digitized-discrete,1990-01-01,1992-04-26,,,,
45,1,bjornsson1996,digitized-discrete,1990-01-01,1992-04-26,,,,
46,1,blatter1985,published,1975-09-09,1975-09-09,,,true,
47,1,blatter1985,published,1975-09-09,1975-09-09,,,true,
48,1,blatter1985,published,1975-09-09,1975-09-09,,,true,
49,1,blatter1985,published,1975-09-09,1975-09-09,,,true,
50,1,blatter1985,published,1975-09-09,1975-09-09,,,true,
51,1,clarke1984,digitized-discrete,1980-01-01,1980-12-31,,,,
52,1,clarke1984,digitized-discrete,1980-01-01,1980-12-31,,,,
53,1,clarke1984,digitized-discrete,1980-01-01,1980-12-31,,,,
54,1,clarke1984,digitized-discrete,1980-01-01,1980-12-31,,,,
55,1,copland2003,published,1997-01-01,1999-12-31,,,true,
56,1,copland2003,published,1997-01-01,1999-12-31,,,true,
57,1,copland2003,published,1997-01-01,1999-12-31,,,true,
58,1,copland2003,published,1997-01-01,1999-12-31,,,true,
59,1,delcourt2013,digitized-discrete,2008-01-01,2008-12-31,,,,measurement.depth: First measurement in Figure 2 assumed to be at 0 m
60,1,delcourt2013,digitized-discrete,2008-01-01,2008-12-31,,,,measurement.depth: First measurement in Figure 2 assumed to be at 0 m
61,1,delcourt2013,digitized-discrete,2008-01-01,2008-12-31,,,,measurement.depth: First measurement in Figure 2 assumed to be at 0 m
62,1,fujii2002,digitized-discrete,2000-07-15,2000-07-24,,,true,
63,1,fujii2002,digitized-discrete,2001-07-06,2001-07-17,,,true,
64,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
65,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
66,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
66,2,gagliardini2023,submitted,2015-11-06,2015-11-06,,,true,
67,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
68,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
69,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
69,2,gagliardini2023,submitted,2015-11-06,2015-11-06,,,true,
70,1,gagliardini2023,submitted,2010-09-11,2010-09-11,,,true,
71,1,gilbert2015,digitized-discrete,2012-01-01,2012-12-31,,,,
72,1,gilbert2015,digitized-discrete,2008-01-01,2008-12-31,,,,
73,1,gilbert2015,digitized-discrete,2008-01-01,2008-12-31,,,,
74,1,gilbert2015,digitized-discrete,2008-01-01,2008-12-31,,,,
75,1,gilbert2015,digitized-discrete,2013-01-01,2013-12-31,,,,
76,1,clarke1976,published,1974-09-05,1974-09-05,,,,[flag] Melted-out (0 °C) thermistor at 3 m depth indicates surface lowering of 3-6 m since installation (1973-07-26) | Thermistor chain 73T7 is omitted here because it was drilled 20 m from a moulin 70 m from the other chains (and is up to 2 °C warmer)
77,1,clarke1976,published,1974-09-05,1974-09-05,,,,
78,1,classen1970,published,1969-07-22,1969-08-06,,,estimated,equilibrium: Measured after 30-45 days and corrected with a 50-day cooling curve
79,1,classen1970,published,1969-07-22,1969-08-07,,,estimated,equilibrium: Measured after 14-30 days and corrected with a 50-day cooling curve
80,1,classen1970,published,1969-07-22,1969-08-07,,,false,[flag] equilibrium: In principle achieved by extrapolation but 'the melt water drained from the hole due to a subsurface crack and prevented the thermistors from being frozen into the surrounding ice. As a result air or snow temperatures were probably measured.'
81,1,classen1970,published,1969-08-03,1969-08-10,,,estimated,equilibrium: Measured after 6-13 days and corrected with a 50-day cooling curve
82,1,classen1970,published,1969-07-22,1969-08-09,,,estimated,equilibrium: Measured after 12-30 days and corrected with a 50-day cooling curve
83,1,classen1970,published,1969-07-22,1969-08-09,,,estimated,equilibrium: Measured after 7-25 days and corrected with a 50-day cooling curve
84,1,eisen2009,digitized-discrete,2006-01-01,2006-12-31,,,true,
85,1,eisen2009,digitized-discrete,2007-05-30,2007-12-31,,,true,
86,1,eisen2009,digitized-discrete,2007-05-27,2007-12-31,,,true,
