depth_m;temperature_degC
-66;
-64;
-62;
-60;
-58;-0.42
-56;-0.52
-51;-0.69
-46;
-41;
-36;-0.86
-31;-1.01
-26;-1.27
-21;-1.28
-16;-1.45
-11;-1.58
