depth_m;temperature_degC
-65;-1.32
-63;-1.29
-61;-1.38
-59;-1.3
-57;-1.37
-55;-1.32
-50;-1.36
-45;-1.49
-40;-1.55
-35;-1.73
-30;-1.83
-25;-1.85
-20;-2.04
-15;-2.07
-10;-2.04
