depth_m;temperature_degC
-4.8;-1.61
-9.8;-1.7
-14.8;-1.21
-19.8;-1
-24.8;-0.83
-29.8;-0.75
-34.8;-0.49
-39.8;-0.39
-44.8;-0.29
-49.8;-0.34
-54.8;-0.07
-59.8;-0.12
-64.8;-0.09
