depth_m;temperature_degC
-8.8;
-13.8;-1.25
-18.8;-1.23
-23.8;-1.1
-28.8;-1.01
-33.8;
-38.8;-0.84
-43.8;-0.76
-48.8;-0.65
-53.8;-0.6
