depth_m;temperature_degC
-8.8;-1.31
-13.8;-1.13
-18.8;-1.14
-23.8;-1.04
-28.8;-0.89
-33.8;-0.79
-38.8;-0.73
-43.8;-0.61
-48.8;-0.53
-53.8;-0.54
