depth_m;temperature_degC
-4.8;-1.47
-9.8;-1.3
-14.8;-1
-19.8;-0.92
-24.8;-0.78
-29.8;-0.69
-34.8;-0.38
-39.8;-0.17
-44.8;-0.08
-49.8;-0.16
-54.8;-0.04
-59.8;-0.1
-64.8;-0.07
