borehole_id,profile_id,depth,temperature
244,18533,71.5,0.25
244,18533,81.5,0.688
244,18534,16.5,-1.281
244,18534,21.5,-1.188
244,18534,26.5,-0.695
244,18534,36.5,-0.234
244,18534,46.5,0.188
244,18534,56.5,0.438
244,18534,71.5,0.25
244,18534,81.5,0.688
244,18535,16.5,-1.289
244,18535,21.5,-1.188
244,18535,26.5,-0.688
244,18535,36.5,-0.203
244,18535,46.5,0.188
244,18535,56.5,0.438
244,18535,71.5,0.25
244,18535,81.5,0.68
244,18536,16.5,-1.281
244,18536,21.5,-1.195
244,18536,26.5,-0.688
244,18536,36.5,-0.211
244,18536,46.5,0.188
244,18536,56.5,0.438
244,18536,71.5,0.25
244,18536,81.5,0.688
244,18537,16.5,-1.281
244,18537,21.5,-1.188
244,18537,26.5,-0.695
244,18537,36.5,-0.227
244,18537,46.5,0.188
244,18537,56.5,0.438
244,18537,71.5,0.258
244,18537,81.5,0.688
244,18538,16.5,-1.297
244,18538,21.5,-1.188
244,18538,26.5,-0.695
244,18538,36.5,-0.227
244,18538,46.5,0.18
244,18538,56.5,0.438
244,18538,71.5,0.25
244,18538,81.5,0.688
244,18539,16.5,-1.297
244,18539,21.5,-1.188
244,18539,26.5,-0.688
244,18539,36.5,-0.203
244,18539,46.5,0.188
244,18539,56.5,0.438
244,18539,71.5,0.25
244,18539,81.5,0.68
244,18540,16.5,-1.289
244,18540,21.5,-1.188
244,18540,26.5,-0.695
244,18540,36.5,-0.203
244,18540,46.5,0.188
244,18540,56.5,0.438
244,18540,71.5,0.25
244,18540,81.5,0.688
244,18541,16.5,-1.281
244,18541,21.5,-1.188
244,18541,26.5,-0.695
244,18541,36.5,-0.234
244,18541,46.5,0.188
244,18541,56.5,0.438
244,18541,71.5,0.258
244,18541,81.5,0.688
244,18542,16.5,-1.281
244,18542,21.5,-1.188
244,18542,26.5,-0.695
244,18542,36.5,-0.234
244,18542,46.5,0.188
244,18542,56.5,0.438
244,18542,71.5,0.25
244,18542,81.5,0.688
244,18543,16.5,-1.297
