depth_m;temperature_degC
-8.8;
-13.8;-1.26
-18.8;-1.35
-23.8;-1.19
-28.8;
-33.8;
-38.8;-0.93
-43.8;-0.93
-48.8;-0.77
-53.8;-0.67
