longitude,latitude,x,y
-91.2251,79.49915,20000,70000
-90.74144,79.49924,30000,70000
-90.25504,79.499146,40000,70000
-91.22723,79.409454,20000,60000
-90.74302,79.4094,30000,60000
-90.257164,79.40941,40000,60000
