TIMESTAMP,RECORD,Logger_ID,Year,Julian_Day,Battery_Volts,Panel_Temp,TK145_0005cm,TK145_0010cm,TK145_0030cm,TK145_0050cm,TK145_0100cm,TK145_0150cm,TK145_0200cm,TK145_0300cm,TK145_0400cm,TK145_0600cm,TK145_0800cm,TK145_1000cm
11/10/2014 16:00,25,242,2014,314,13.68924,12.25621,-3.732534,-3.547747,-3.108278,-2.830177,-2.295992,-2.039917,-1.760118,-1.806808,-1.619999,-1.926876,-1.876759,-1.713434
11/10/2014 17:00,26,242,2014,314,13.8804,2.609211,-3.908068,-3.70009,-3.213961,-2.889233,-2.321873,-2.051512,-1.794693,-1.771339,-1.654448,-1.95816,-1.911495,-1.724583
11/10/2014 18:00,27,242,2014,314,13.51916,-2.912399,-3.942305,-3.757334,-3.270933,-2.936737,-2.341061,-2.062321,-1.809988,-1.780771,-1.663782,-1.96773,-1.921013,-1.735144
11/10/2014 19:00,28,242,2014,314,13.23631,-6.466202,-3.955074,-3.789665,-3.30308,-2.978085,-2.372978,-2.092968,-1.835875,-1.8125,-1.695513,-1.99951,-1.952791,-1.765703
11/10/2014 20:00,29,242,2014,314,13.12437,-9.028191,-3.959475,-3.797457,-3.333935,-3.008854,-2.380299,-2.121256,-1.866423,-1.819649,-1.703794,-2.00676,-1.970501,-1.796253
11/10/2014 21:00,30,242,2014,314,13.07712,-10.97567,-3.972496,-3.810455,-3.370064,-3.021723,-2.395395,-2.136288,-1.879097,-1.8323,-1.738646,-2.019419,-1.974989,-1.78546
11/10/2014 22:00,31,242,2014,314,13.04752,-12.48033,-3.990601,-3.828545,-3.388096,-3.062912,-2.434208,-2.154062,-1.896856,-1.850046,-1.756374,-2.059397,-2.013813,-1.821922
11/10/2014 23:00,32,242,2014,314,13.01638,-13.95336,-4.005676,-3.836643,-3.403053,-3.077848,-2.430439,-2.152548,-1.911678,-1.864855,-1.771189,-2.052013,-2.0228,-1.818024
11/11/2014 0:00,33,242,2014,315,13.00181,-14.96776,-4.017183,-3.84351,-3.414503,-3.089262,-2.460461,-2.163898,-1.923025,-1.875021,-1.782511,-2.063385,-2.038839,-1.829348
11/11/2014 1:00,34,242,2014,315,12.98728,-15.6975,-4.040474,-3.856373,-3.437784,-3.112566,-2.460407,-2.180161,-1.946268,-1.876038,-1.805775,-2.086622,-2.039854,-1.852621
11/11/2014 2:00,35,242,2014,315,12.97278,-16.2352,-4.078508,-3.89324,-3.447937,-3.124998,-2.475065,-2.194801,-1.939804,-1.890635,-1.796938,-2.077888,-2.042784,-1.843815
11/11/2014 3:00,36,242,2014,315,12.96722,-16.49276,-4.105135,-3.910622,-3.446781,-3.128489,-2.492563,-2.188944,-1.955025,-1.887133,-1.81451,-2.095434,-2.048653,-1.837927
11/11/2014 4:00,37,242,2014,315,12.96722,-16.33687,-4.144474,-3.934929,-3.470009,-3.144743,-2.492563,-2.212322,-1.978443,-1.908195,-1.815676,-2.095434,-2.067364,-1.837927
11/11/2014 5:00,38,242,2014,315,12.96662,-15.85113,-4.197672,-3.989368,-3.481667,-3.154142,-2.502037,-2.221828,-1.987988,-1.917728,-1.847502,-2.104935,-2.081524,-1.866226
11/11/2014 6:00,39,242,2014,315,12.96516,-15.74946,-4.270277,-4.038908,-3.505823,-3.180679,-2.528732,-2.225229,-1.99139,-1.92119,-1.850937,-2.131744,-2.084976,-1.874363
11/11/2014 7:00,40,242,2014,315,15.34,-15.09202,-4.289151,-4.057787,-3.524767,-3.181065,-2.524496,-2.224504,-1.990652,-1.935663,-1.846697,-2.127493,-2.080732,-1.870148
11/11/2014 8:00,41,242,2014,315,17.72772,-5.591869,-4.267159,-4.036005,-3.526756,-3.190445,-2.527689,-2.229197,-1.990978,-1.920866,-1.850689,-2.131161,-2.084423,-1.874069
11/11/2014 9:00,42,242,2014,315,18.02834,4.579277,-4.237554,-4.006796,-3.522539,-3.197155,-2.547102,-2.244453,-2.011284,-1.937803,-1.87125,-2.127914,-2.104607,-1.87125
11/11/2014 10:00,43,242,2014,315,17.92736,11.97832,-4.226118,-4.018606,-3.533714,-3.208675,-2.560461,-2.258152,-2.001932,-2.281433,-1.862011,-2.141747,-2.095158,-1.862011
11/11/2014 11:00,44,242,2014,315,17.08238,16.46293,-4.253729,-4.046371,-3.546886,-3.215139,-2.566208,-2.264105,-2.031385,-2.2176,-1.868261,-2.1478,-2.101231,-1.868261
11/11/2014 12:00,45,242,2014,315,17.429,18.35393,-4.260645,-4.053364,-3.568958,-3.22229,-2.568857,-2.27146,-2.015528,-1.965439,-1.875698,-2.147045,-2.10862,-1.875698
11/11/2014 13:00,46,242,2014,315,17.17113,20.77133,-4.233632,-4.049444,-3.58835,-3.227995,-2.573759,-2.269554,-2.035786,-2.016012,-1.896063,-2.152126,-2.107935,-1.88092
11/11/2014 14:00,47,242,2014,315,16.98198,22.39121,-2.45715,-2.744818,-3.149971,-3.198502,-2.5732,-2.271353,-2.038786,-68.75246,-1.89208,-2.155094,-2.108578,-1.875767
11/11/2014 15:00,48,242,2014,315,16.83486,22.75495,-2.439308,-2.856688,-3.135563,-2.949289,-2.595959,-2.294174,-2.044205,-68.744,-1.904537,-2.160509,-2.113987,-1.881243
11/11/2014 16:00,49,242,2014,315,13.76063,9.459255,-3.602331,-3.649725,-3.487934,-3.192934,-2.607368,-2.305159,-2.049009,-1.979073,-1.909132,-2.165497,-2.142212,-1.909132
