TIMESTAMP,RECORD,Logger_ID,Year,Julian_Day,Battery_Volts,Panel_Temp,TK144_0005cm,TK144_0010cm,TK144_0030cm,TK144_0050cm,TK144_0100cm,TK144_0150cm,TK144_0200cm,TK144_0300cm,TK144_0400cm,TK144_0600cm,TK144_0800cm,TK144_1000cm
11/9/2014 16:00,0,241,2014,313,13.50073,-7.238865,-2.791248,-2.755121,-2.521795,-2.451773,-2.030842,0.02278137,0.04418182,-0.02470589,-68.8033,0.04418182,-0.02707672,0.04418182
11/9/2014 17:00,1,241,2014,313,13.40245,-8.420452,-3.074249,-3.050949,-2.841326,-2.748013,-2.281012,0.04950333,0.02812195,-0.03604698,-68.8033,0.04831696,-0.02179718,0.02812195
11/9/2014 18:00,2,241,2014,313,13.16423,-10.00645,-3.254751,-3.18494,-2.998692,-2.882214,-2.345354,0.03433609,0.0212574,-0.06072235,-68.8033,0.03433609,-0.06072235,-0.0120182
11/9/2014 19:00,3,241,2014,313,13.07213,-11.79351,-3.362291,-3.269247,-3.059746,-2.966589,-2.312975,0.02019691,-0.003612518,-0.09859848,-68.8033,0.02019691,-0.1460781,-0.02735519
11/9/2014 20:00,4,241,2014,313,13.00735,-13.24847,-3.484257,-3.355211,-3.103853,-3.00602,-2.212061,-0.09078598,-0.01950073,-0.1382771,-68.8033,0.004266739,-0.1892986,-0.09078598
11/9/2014 21:00,5,241,2014,313,12.95321,-14.24706,-3.629398,-3.443443,-3.140968,-3.047791,-1.996311,-0.1805305,-0.03802109,-0.1568069,-68.8033,-0.01425934,-0.2279968,-0.1544018
11/9/2014 22:00,6,241,2014,313,12.91024,-15.01746,-3.785057,-3.552759,-3.177031,-3.064062,-1.566517,-0.220356,-0.05409241,-0.1776161,-68.8033,-0.03032684,-0.2915363,-0.220356
11/9/2014 23:00,7,241,2014,313,12.87214,-15.72235,-3.969458,-3.689716,-3.201315,-3.084864,-0.7388229,-0.2829056,-0.07513237,-0.2176418,-68.8033,-0.0513649,-0.4073772,-0.3362484
11/10/2014 0:00,8,241,2014,314,12.83862,-16.49276,-4.176998,-3.829062,-3.226925,-3.084864,-0.1701641,-0.3362484,-0.09889221,-0.2413692,-68.8033,-0.08225441,-0.5495205,-0.4784489
11/10/2014 1:00,9,241,2014,314,12.8027,-17.09146,-4.375777,-3.98163,-3.261093,-3.07937,-0.1104202,-0.3727131,-0.1115932,-0.2540779,-68.8033,-0.1115932,-0.5871372,-0.648695
11/10/2014 2:00,10,241,2014,314,12.77037,-17.48682,-4.557003,-4.11673,-3.303482,-3.09383,-0.08323097,-0.4155998,-0.1378841,-0.2732353,-68.8033,-0.1307545,-0.652462,-0.8653049
11/10/2014 3:00,11,241,2014,314,12.69771,-17.6992,-4.756073,-4.279037,-3.360502,-3.09383,-0.1069736,-0.4629993,-0.162838,-0.2981739,-68.8033,-0.1545219,-0.7447395,-1.101402
11/10/2014 4:00,12,241,2014,314,12.68095,-17.88445,-4.950335,-4.44121,-3.419827,-3.074018,-0.1545219,-0.5340576,-0.2020359,-0.3444386,-68.8033,-0.1782932,-0.8274899,-1.242878
11/10/2014 5:00,13,241,2014,314,12.67536,-18.18042,-5.135233,-4.603322,-3.489624,-3.070534,-0.2008572,-0.6051064,-0.2495022,-0.3527489,-68.8033,-0.2043896,-0.9834118,-1.337133
11/10/2014 6:00,14,241,2014,314,12.66977,-18.50349,-5.320016,-4.765328,-3.536156,-3.047216,-0.2495022,-0.8038521,-0.3207264,-0.4155998,-68.8033,-0.2969875,-1.337133,-1.427759
11/10/2014 7:00,15,241,2014,314,14.87734,-18.50349,-5.48164,-4.904086,-3.6059,-3.047216,-0.3266296,-1.030626,-0.3681679,-0.4629993,-68.8033,-0.3444386,-1.572424,-1.478357
11/10/2014 8:00,16,241,2014,314,14.8774,-7.105568,-5.386772,-4.878998,-3.628567,-3.024017,-0.4197826,-1.217886,-0.418602,-0.4990883,-68.8033,-0.3771801,-1.66811,-1.527191
11/10/2014 9:00,17,241,2014,314,14.77573,7.114155,-5.173021,-4.781065,-3.624876,-3.021286,-0.565403,-1.339096,-0.4791813,-0.4909801,-68.8033,-0.4307175,-1.737841,-1.573771
11/10/2014 10:00,18,241,2014,314,14.77391,15.84842,-5.206169,-4.838799,-3.683882,-3.034552,-0.8838749,-1.441917,-0.553915,-0.6011028,-68.8033,-0.4807129,-1.78507,-1.611841
11/10/2014 11:00,19,241,2014,314,14.76319,22.14043,-5.296911,-4.945911,-3.745682,-3.050327,-1.487759,-1.507694,-0.6204147,-0.5708828,-68.8033,-0.5000973,-1.815485,-1.651707
11/10/2014 12:00,20,241,2014,314,14.78906,26.86905,-5.258091,-4.959002,-3.782518,-3.064434,-1.768326,-1.550722,-0.938345,-0.6818142,-68.78205,-0.5392666,-1.853645,-1.666599
11/10/2014 13:00,21,241,2014,314,14.74755,29.91903,-5.155751,-4.90266,-3.818636,-3.111208,-1.960543,-1.609932,-1.141161,-0.76507,-68.8033,-0.6060982,-1.890472,-1.703501
11/10/2014 14:00,22,241,2014,314,14.66838,31.4734,-5.066653,-4.8607,-3.867838,-3.173422,-2.104864,-1.636511,-1.238276,-0.9940948,-68.8033,-0.6741486,-1.916971,-1.730059
11/10/2014 15:00,23,241,2014,314,13.40913,25.85464,-5.1894,-4.976563,-3.967749,-3.296671,-2.180798,-1.668123,-1.29212,-1.198269,-68.78205,-0.7516518,-1.924082,-1.755808
11/10/2014 16:00,24,241,2014,314,13.33573,12.09355,-5.148894,-4.941566,-4.001995,-3.346462,-2.252909,-1.715252,-1.340132,-1.293198,-68.8033,-0.8463268,-1.949232,-1.76206
11/10/2014 17:00,25,241,2014,314,13.25041,3.591984,-5.098135,-4.890596,-4.014996,-3.386887,-2.316156,-1.754927,-1.394876,-1.356129,-68.8033,-0.9562988,-1.965609,-1.788893
11/10/2014 18:00,26,241,2014,314,13.15799,-1.692402,-5.075804,-4.868133,-4.035959,-3.412178,-2.362059,-1.777206,-1.425234,-1.425234,-68.8033,-1.095985,-1.987988,-1.800613
11/10/2014 19:00,27,241,2014,314,13.10777,-5.395317,-5.080799,-4.826877,-4.017353,-3.437372,-2.389214,-1.804201,-1.452147,-1.452147,-68.8033,-1.240499,-1.991638,-1.827654
11/10/2014 20:00,28,241,2014,314,13.07264,-8.397861,-5.117129,-4.840087,-4.03038,-3.473532,-2.425325,-1.823862,-1.488224,-1.508184,-68.8033,-1.375391,-2.004301,-1.84029
11/10/2014 21:00,29,241,2014,314,13.04197,-10.69552,-5.153822,-4.864004,-4.035612,-3.485645,-2.460552,-1.852022,-1.499907,-1.523405,-68.8033,-1.499907,-2.016083,-1.852022
11/10/2014 22:00,30,241,2014,314,13.0185,-12.40803,-5.231551,-4.908205,-4.028681,-3.494755,-2.46937,-1.880644,-1.531944,-1.555449,-68.8033,-1.608288,-2.024786,-1.860672
11/10/2014 23:00,31,241,2014,314,12.99059,-13.9285,-5.369963,-4.977471,-4.033264,-3.517963,-2.516062,-1.902834,-1.555414,-1.578913,-68.8033,-1.696354,-2.048161,-1.884077
11/11/2014 0:00,32,241,2014,315,12.97763,-15.11687,-5.475741,-5.060203,-4.065012,-3.531054,-2.529001,-1.920355,-1.568155,-1.591675,-68.8033,-1.732616,-2.061007,-1.895704
11/11/2014 1:00,33,241,2014,315,12.96153,-16.05446,-5.610352,-5.148727,-4.084263,-3.550289,-2.54821,-1.934896,-1.587402,-1.610933,-68.8033,-1.775351,-2.056816,-1.892681
11/11/2014 2:00,34,241,2014,315,12.94625,-16.93331,-5.756653,-5.259389,-4.102448,-3.568472,-2.566368,-1.957745,-1.60557,-1.629091,-68.8033,-1.793484,-2.051517,-1.910824
11/11/2014 3:00,35,241,2014,315,12.93796,-17.51168,-5.873829,-5.366216,-4.139931,-3.582663,-2.5804,-1.948259,-1.619474,-1.642998,-68.8033,-1.807417,-2.065487,-1.902483
11/11/2014 4:00,36,241,2014,315,12.92686,-17.75116,-6.034039,-5.48164,-4.186283,-3.6059,-2.603777,-1.971672,-1.642973,-1.6653,-68.8033,-1.830866,-2.065468,-1.924747
11/11/2014 5:00,37,241,2014,315,12.92686,-17.67208,-6.155016,-5.597018,-4.232657,-3.629141,-2.603777,-1.995155,-1.666471,-1.666471,-68.8033,-1.84145,-2.088892,-1.924747
11/11/2014 6:00,38,241,2014,315,12.92127,-17.6992,-6.31168,-5.712384,-4.279037,-3.629141,-2.627146,-1.995155,-1.689972,-1.66765,-68.8033,-1.854376,-2.088892,-1.948233
