id,source_id,borehole_id,temperature_degC,depth_m,to_bottom
691,26,70,-0.029192822,61.65014,True
692,26,70,-0.14316384,64.00282,True
693,26,70,0.035633445,69.83287,True
694,27,71,0.09006281,21.029411,False
695,27,71,-0.13213129999999998,27.053476,False
696,27,71,-2.2451057,32.884136,False
697,27,71,-3.2794566,38.961822999999995,False
698,27,71,-3.8524747,43.94786,False
699,27,71,-3.9527729,48.945484,False
700,27,71,-2.8652607999999997,54.045753000000005,False
701,27,71,-2.771574,58.974598,False
702,27,71,-2.9567194,63.970142,False
703,27,71,-3.4813023000000003,69.0309,False
704,27,71,-3.872407,73.87433,False
705,27,71,-3.9606333,78.94578,False
706,27,72,0.055536285,0.072341055,True
707,27,72,0.08964653,3.4555852,True
708,27,72,-5.4285984,8.099822,True
709,27,72,-4.4744663000000005,13.27035,True
710,27,72,-3.6293745000000004,18.364676,True
711,27,72,-3.5598316,23.145870000000002,True
712,27,72,-4.3665769999999995,33.273323,True
713,27,72,-6.0579605,43.08497,True
714,27,72,-7.349448,53.053474,True
715,27,72,-8.034885000000001,63.036840000000005,True
716,27,72,-8.23558,73.179146,True
717,27,72,-7.648213,83.046646,True
718,27,72,-7.4609375,93.0514,True
719,27,72,-6.722803999999999,113.14335,True
720,27,73,-4.2270994,5.849821599999999,True
721,27,73,-2.7914083,15.958704999999998,True
722,27,73,-3.7313870000000002,25.93583,True
723,27,73,-5.180448,35.900475,True
724,27,73,-7.017431,45.929146,True
725,27,73,-8.357305,55.749405,True
726,27,73,-8.970016000000001,65.73455,True
727,27,73,-8.874296000000001,85.81075,True
728,27,73,-8.92807,93.75074000000001,True
729,27,74,-4.877619,-0.1956328,True
730,27,74,-7.740235,2.8224895,True
731,27,74,-9.589338,12.850862,True
732,27,74,-9.0626745,22.863934,True
733,27,74,-10.705721,32.897354,True
734,27,74,-10.930411999999999,42.67142,True
735,27,74,-11.009799000000001,52.669636,True
736,27,74,-11.0770645,62.66815,True
737,27,74,-11.070378999999999,70.830215,True
738,27,75,-10.338589,9.450089,False
739,27,75,-9.675116000000001,14.245841,False
740,27,75,-9.617841,19.247326,False
741,27,75,-9.948487,24.312834,False
742,27,75,-10.303278,29.230690000000003,False
743,27,75,-10.709883999999999,39.147354,False
744,27,75,-10.849973,49.291145,False
745,27,75,-11.026327,59.286986999999996,False
746,27,75,-10.887536,69.29055,False
747,27,75,-10.906317,79.29025,False
748,28,76,-0.9449242,5.395278500000001,False
749,28,76,-1.5061873,6.6700473,False
750,28,76,-2.5270202,10.255198,False
751,28,76,-2.0433993000000004,13.108982999999998,False
752,28,76,-1.3558141000000001,15.968619,False
753,28,76,-0.92556775,27.340609999999998,False
754,28,76,-0.8789101999999999,42.832382,False
755,28,76,-0.9085948,57.805614,False
756,28,76,-0.8585427,61.163306999999996,False
757,28,76,-0.86200947,73.55556,False
758,28,76,-1.0667683000000001,76.389595,False
759,28,76,-0.79065084,91.88795,False
760,28,76,-0.54002887,107.38557,False
761,28,77,-0.9053711999999999,3.3649056000000006,False
762,28,77,-4.0640480000000005,6.1519900000000005,False
763,28,77,-5.561057599999999,9.4053545,False
764,28,77,-5.5729055,12.102632,False
765,28,77,-4.9302135,14.781229000000002,False
766,28,77,-4.388114,17.847975,False
767,28,77,-4.059928,21.177675,False
768,28,77,-3.0751247000000004,32.06575,False
769,28,77,-2.2545905,40.646854,False
770,28,77,-2.2646074,50.022213,False
771,28,77,-0.8773974,59.486121999999995,False
772,28,77,-0.4216134,69.10504,False
773,28,77,-0.18009542,77.70267,False
774,28,77,-0.026583,86.68808,False
775,29,78,-3.1373737,3.2179723,False
776,29,78,-5.3114696,17.287859,False
777,29,78,-3.4469510000000003,32.348335,False
778,29,78,-1.7802211,47.805428000000006,False
779,29,79,-0.85279304,1.3226973,False
780,29,79,-8.091371,11.668402,False
781,29,79,-6.6963824999999995,20.920195,False
782,29,79,-6.5988793,26.694329999999997,False
783,29,79,-6.104955,32.665245,False
784,29,80,-1.8955821,7.146953999999999,False
785,29,80,-0.35238433,14.507784,False
786,29,80,-0.12446638,22.16508,False
787,29,80,-1.2520036,29.845924,False
788,29,81,-5.129869,3.1171142999999994,False
789,29,81,-6.584767,5.568971,False
790,29,81,-6.780436999999999,8.461965,False
791,29,81,-6.1321874,14.771926,False
792,29,82,-6.2846074,5.605028,True
793,29,82,-5.2874813,11.828403999999999,True
794,29,82,-3.8707553999999997,17.818924,True
795,29,82,-3.2922757000000007,20.911402,True
796,29,82,-2.7736737999999996,23.808054000000002,True
797,29,82,-2.3550165,26.899836999999998,True
798,29,83,-2.9225068,22.376942,True
799,29,83,-2.3793309,26.378560999999998,True
800,29,83,-1.7978028000000001,29.560438,True
801,29,83,-1.5664415,31.269886,True
802,30,84,-3.132201,41.30963,
803,30,84,-0.020270595,79.627426,
804,30,84,-0.07497388,119.490746,
805,30,84,-0.12967716,159.35406,
806,30,84,-0.17743604,199.21563999999998,
807,30,84,-0.20434561,239.82387000000003,
808,30,84,-0.21047020000000002,278.17123,
809,30,84,-0.29902747,358.64453,
810,30,85,-1.9036355999999999,13.182185,
811,30,85,-2.1254065,34.29039,
812,30,85,-2.2291226,55.369003,
813,30,85,-2.3814332,77.21168,
814,30,85,-1.5333315,118.35248600000001,
815,30,85,-0.9351640999999999,162.56346000000002,
816,30,85,-0.1773235,204.47876000000002,
817,30,85,-0.21108104,249.59999,
818,30,86,-1.7298808,19.905552,
819,30,86,-1.9234883000000003,59.0518,
820,30,86,-1.7838124,95.85889,
821,30,86,-1.5781648000000001,132.64943,
822,30,86,-1.303081,169.04663,
823,30,86,-0.7640776999999999,206.88145,
824,30,86,-0.22857067,243.58934,
825,30,86,-0.26247287,281.94366,
826,30,87,-0.0944568,20.247551,
827,30,87,-0.12181648,39.803272,
828,30,87,-0.11098192,59.349419999999995,
829,30,87,-0.12446082,78.52571999999999,
830,30,87,-0.17610985,98.83941,
831,30,87,-0.18608439,119.51858999999999,
832,30,87,-0.2099799,138.69751000000002,
833,30,87,-0.22342665,159.37756000000002,
834,30,87,-0.2750998,178.56343,
835,30,88,-1.0632257,19.36253,
836,30,88,-0.94841796,29.860066999999997,
837,30,88,-0.9410395,50.158962,
838,30,88,-0.99270463,69.72077,
839,30,88,-1.0688921,79.13835999999999,
840,30,88,-0.9781325999999999,101.67200000000001,
841,30,88,-1.1687261,119.38892,
842,30,88,-1.2134466999999998,138.94899999999998,
843,30,88,-1.1123188999999998,159.2244,
844,30,88,-1.0528654,179.1343,
845,30,88,-0.8895351999999999,185.48434,
846,30,88,-0.43363163,234.24222999999998,
847,30,88,-0.12352846599999999,284.54044,
848,30,88,-0.18528064,319.5183,
849,30,88,-0.1848868,337.93924,
850,30,88,-0.18815003,347.7145,
851,30,89,-0.050925925,25.714285,
852,30,89,-0.11111111,45.37815,
853,30,89,-0.10185185,65.54621999999999,
854,30,89,-0.12037037,85.71429,
855,30,89,-0.15277778,103.86555,
856,30,89,-0.13888889999999998,125.04201499999999,
857,30,89,-0.18518518,145.71428,
858,30,89,-0.18518518,165.88235,
859,30,89,-0.18055555,186.05042,
860,31,90,-3.9102892999999996,0.26139229999999997,False
861,31,90,-4.0282574,0.43642944,False
862,31,90,-3.8488362,0.95921403,False
863,31,90,-3.788151,1.4127077,False
864,31,90,-3.578881,2.005171,False
865,31,90,-4.4350557,2.9862322999999997,False
866,31,90,-3.1874458999999997,3.9930190000000003,False
867,31,90,-2.8845694,6.085967,False
868,31,90,-2.5527222000000003,7.969362299999999,False
869,31,90,-2.1019189999999996,9.991856,False
870,7,91,-14.051023999999998,11.993795,
871,7,91,-14.029725,18.118876,
872,7,91,-13.945332,24.25168,
873,7,91,-13.849498,30.508335,
874,7,91,-13.765038500000001,36.39625,
875,7,91,-13.680512,42.039272,
876,7,91,-13.60759,48.170673,
877,7,91,-13.546073999999999,54.055780000000006,
878,7,91,-13.438704000000001,60.068946999999994,
879,7,91,-13.337069,66.08140999999999,
880,7,91,-13.218291,72.34088,
881,7,91,-13.08801,78.4793,
882,7,91,-12.986341,84.36932,
883,7,91,-12.884707,90.38179000000001,
884,7,91,-12.777336,96.394966,
885,7,91,-12.664263,102.53128000000001,
886,7,91,-12.54542,108.54585,
887,7,91,-12.437983000000001,114.31413,
888,7,91,-12.353655,120.691826,
889,32,92,-0.09333510000000002,2.4680392999999996,
890,32,92,-0.8762777,3.0401852000000003,
891,32,92,-1.0809346000000002,3.3095684000000003,
892,32,92,-1.3534454,3.562047,
893,32,92,-1.6599697,3.8313443999999994,
894,32,92,-2.1372527999999997,4.3869004,
895,32,92,-2.5804647999999997,4.908791000000001,
896,32,92,-2.9558806,5.4644330000000005,
897,32,92,-3.195358,5.9864955,
898,32,92,-3.5708892,6.575832000000001,
899,32,92,-3.84438,7.114712,
900,32,92,-4.049958999999999,7.6536503,
901,32,92,-4.290474400000001,8.478961,
902,32,92,-4.3603463,9.051708,
903,32,92,-4.4989360000000005,9.860258,
904,32,92,-4.5008965,10.433062,
905,32,92,-4.5365815000000005,10.938448,
906,32,92,-4.470688,11.528156,
907,32,92,-4.438404,12.016753,
908,32,92,-4.3726254,12.640156,
909,32,92,-4.373548,12.909711,
910,32,93,-5.3220339999999995,1.0264423,
911,32,93,-5.1864405,1.3966346,
912,32,93,-5.1525426,1.8341346,
913,32,93,-4.8474574,2.1706731,
914,32,93,-4.2033895999999995,2.7596154,
915,32,93,-3.5593220000000003,3.3822114,
916,32,93,-3.1864407000000003,3.8870192,
917,32,93,-3.0508474999999997,4.358173000000001,
918,32,93,-2.8813560000000003,5.014423000000001,
919,32,93,-2.8813560000000003,5.923076999999999,
920,32,93,-2.8474576000000003,6.4951925,
921,32,93,-2.9491525000000003,7.084134599999999,
922,32,93,-3.220339,7.9759617,
923,32,93,-3.4915254,9.423077000000001,
924,32,93,-3.8305085,11.139422999999999,
925,32,93,-3.8644068,12.216346000000001,
926,32,93,-3.8305085,12.956731,
927,32,94,-3.7627117999999995,12.973557000000001,
928,32,94,-3.8644068,12.064903999999999,
929,32,94,-4.2033895999999995,10.382211999999999,
930,32,94,-4.5423727,8.716346000000001,
931,32,94,-5.084746,7.2524036999999995,
932,32,94,-6.1694913,5.485576999999999,
933,32,94,-7.355932000000001,3.2475963,
934,32,94,-7.898305000000001,2.2043269,
935,32,94,-8.067797,0.97596157,
936,32,95,-0.37288135,0.99278843,
937,32,95,-0.5084746,2.0360577,
938,32,95,-2.7118645,3.0793269,
939,32,95,-4.1694913,4.0048075,
940,32,95,-4.983051000000001,4.9975963,
941,32,95,-5.3898306,6.8317309999999996,
942,32,95,-5.2881355,7.9759617,
943,32,95,-5.016948999999999,8.985577000000001,
944,32,95,-4.983051000000001,10.045672999999999,
945,32,95,-4.576271,11.661057000000001,
946,32,95,-4.3050847,13.024038000000001,
947,32,96,-1.3898305,1.0096154,
948,32,96,-1.1186441,1.5649038999999998,
949,32,96,-0.9830508,2.1875,
950,32,96,-1.0508473999999999,2.7259613999999996,
951,32,96,-1.7627118999999998,3.7860577000000006,
952,32,96,-2.9830508,4.9302883,
953,32,96,-3.3559322,5.8221154,
954,32,96,-3.4915254,6.915865400000001,
955,32,96,-3.6949153,8.161057000000001,
956,32,96,-3.9661016000000004,8.867788000000001,
957,32,96,-4.338983,10.432692999999999,
958,32,96,-4.576271,12.115385,
959,32,96,-4.2711864,12.973557000000001,
960,33,97,-14.015781,-2.4090683,
961,33,97,-12.253807,-1.8898078999999999,
962,33,97,-10.899780999999999,-1.5026469,
963,33,97,-9.546655,-0.9935345,
964,33,97,-8.044622,-0.51228577,
965,33,97,-2.4246842999999996,3.6446571000000003,
966,33,97,-0.48395568,7.653982000000001,
967,33,97,-0.04878251,11.660482,
968,33,98,-0.88773304,3.6796324,
969,33,98,-0.018863492,7.6123842999999995,
970,33,98,-0.048506122,11.629196,
971,33,99,-8.099567,0.044454698,
972,33,99,-7.0085754,2.0561452,
973,33,99,-2.9533277,6.0821414,
974,33,99,-0.6611520000000001,10.105675999999999,
975,33,99,-0.66130376,10.127571000000001,
976,33,100,-0.070577525,2.7710695,
977,33,100,-1.300296,6.0720177,
978,33,100,-1.3224558000000002,10.158532000000001,
979,33,101,-13.231910999999998,-0.10468731,
980,33,101,-10.812447,0.070946805,
981,33,101,-8.779494999999999,0.32848576,
982,33,101,-7.959103,0.69264877,
983,33,101,-5.136866599999999,3.4532032,
984,33,101,-2.3878522,7.463533,
985,33,101,-1.0153143,11.496542999999999,
986,33,102,-0.104935005,-0.028077994,
987,33,102,-0.40317667,1.5368794,
988,33,102,-2.4983419999999996,5.5130156999999995,
989,33,102,-1.6762332999999998,9.499839,
990,34,103,-11.102339,4.036502,True
991,34,103,-6.621061999999999,16.504686,True
992,34,103,-5.372205999999999,28.831915000000002,True
993,34,103,-3.3392453,53.68676800000001,True
994,34,104,-9.285295,4.778995500000001,True
995,34,104,-5.733628700000001,17.0692,True
996,34,104,-4.9283967,29.596484999999998,True
997,34,104,-4.0809484,41.930164000000005,True
998,35,105,-2.2636724,5.295778299999999,
999,35,105,-1.4948481000000002,9.87768,
1000,35,105,0.044385735,19.753313000000002,
1001,35,105,-0.21083224,59.992226,
1002,35,106,-0.40683427,23.40909,False
1003,35,106,-0.068440326,37.67857,False
1004,35,106,-0.07153202,54.83766,False
1005,35,106,-0.09148157400000001,68.94481,False
1006,35,106,-0.14316167,175.1461,False
1007,35,107,-9.12674,1.2556180000000001,
1008,35,107,-6.4723644,5.554577,
1009,35,107,-3.8882844,10.383780999999999,
1010,35,107,-3.4371676,15.352362,
1011,35,107,-0.88817436,20.358109,
1012,35,107,-1.7060528000000001,40.185970000000005,
1013,35,107,-1.0204531,60.04046999999999,
1014,35,107,-0.34891254,100.26856,
1015,35,108,-0.43970588,70.22504,True
1016,35,108,-0.220362,84.86341,True
1017,35,108,-0.08923077,100.49261,True
1018,35,108,-0.08273756,114.14577,True
1019,35,108,-0.0930543,130.25638,True
1020,35,108,-0.10135747,145.0403,True
1021,35,108,-0.11273756,161.15651,True
1022,35,108,-0.14126697,175.7837,True
1023,35,108,-0.14210407,190.79153,True
1024,35,108,-0.1440724,205.01567,True
1025,35,108,-0.15022625,220.0515,True
1026,35,108,-0.16807692,235.1489,True
1027,35,108,-0.18377829,250.49821,True
1028,35,108,-0.19771492,261.62674,True
1029,35,108,-0.20226245,270.6001,True
1030,35,108,-0.20244344,280.86655,True
1031,35,108,-0.20373303,290.6124,True
1032,35,108,-0.21997738,299.64734,True
1033,35,108,-0.22223982,310.45117,True
1034,35,108,-0.23524886,319.9955,True
1035,35,108,-0.23438914,329.9933,True
1036,35,109,-0.013910971999999999,10.673089,True
1037,35,109,-0.018442702,25.791355,True
1038,35,109,-0.037716407,41.15116,True
1039,35,109,-0.03909587,56.534298,True
1040,35,109,-0.050984737,71.12145,True
1041,35,109,-0.057499792,80.500374,True
