borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc,equilibrated,notes
244,73,flowers2022,submitted,2011-07-31,2011-07-31,15:00:00,,False,
244,74,flowers2022,submitted,2011-07-31,2011-07-31,16:00:00,,False,
244,75,flowers2022,submitted,2011-07-31,2011-07-31,17:00:00,,False,
244,76,flowers2022,submitted,2011-07-31,2011-07-31,18:00:00,,False,
244,77,flowers2022,submitted,2011-07-31,2011-07-31,19:00:00,,False,
244,78,flowers2022,submitted,2011-07-31,2011-07-31,20:00:00,,False,
244,79,flowers2022,submitted,2011-07-31,2011-07-31,21:00:00,,False,
244,80,flowers2022,submitted,2011-07-31,2011-07-31,22:00:00,,False,
244,81,flowers2022,submitted,2011-07-31,2011-07-31,23:00:00,,False,
244,82,flowers2022,submitted,2011-08-01,2011-08-01,00:00:00,,False,
244,83,flowers2022,submitted,2011-08-01,2011-08-01,01:00:00,,False,
244,84,flowers2022,submitted,2011-08-01,2011-08-01,02:00:00,,False,
244,85,flowers2022,submitted,2011-08-01,2011-08-01,03:00:00,,False,
244,86,flowers2022,submitted,2011-08-01,2011-08-01,04:00:00,,False,
244,87,flowers2022,submitted,2011-08-01,2011-08-01,05:00:00,,False,
244,88,flowers2022,submitted,2011-08-01,2011-08-01,06:00:00,,False,
244,89,flowers2022,submitted,2011-08-01,2011-08-01,07:00:00,,False,
244,90,flowers2022,submitted,2011-08-01,2011-08-01,08:00:00,,False,
244,91,flowers2022,submitted,2011-08-01,2011-08-01,09:00:00,,False,
244,92,flowers2022,submitted,2011-08-01,2011-08-01,10:00:00,,False,
244,93,flowers2022,submitted,2011-08-01,2011-08-01,11:00:00,,False,
244,94,flowers2022,submitted,2011-08-01,2011-08-01,12:00:00,,False,
244,95,flowers2022,submitted,2011-08-01,2011-08-01,13:00:00,,False,
244,96,flowers2022,submitted,2011-08-01,2011-08-01,14:00:00,,False,
244,97,flowers2022,submitted,2011-08-01,2011-08-01,15:00:00,,False,
244,98,flowers2022,submitted,2011-08-01,2011-08-01,16:00:00,,False,
244,99,flowers2022,submitted,2011-08-01,2011-08-01,17:00:00,,False,
244,100,flowers2022,submitted,2011-08-01,2011-08-01,18:00:00,,False,
244,101,flowers2022,submitted,2011-08-01,2011-08-01,19:00:00,,False,
244,102,flowers2022,submitted,2011-08-01,2011-08-01,20:00:00,,False,
244,103,flowers2022,submitted,2011-08-01,2011-08-01,21:00:00,,False,
244,104,flowers2022,submitted,2011-08-01,2011-08-01,22:00:00,,False,
244,105,flowers2022,submitted,2011-08-01,2011-08-01,23:00:00,,False,
244,106,flowers2022,submitted,2011-08-02,2011-08-02,00:00:00,,False,
244,107,flowers2022,submitted,2011-08-02,2011-08-02,01:00:00,,False,
244,108,flowers2022,submitted,2011-08-02,2011-08-02,02:00:00,,False,
244,109,flowers2022,submitted,2011-08-02,2011-08-02,03:00:00,,False,
244,110,flowers2022,submitted,2011-08-02,2011-08-02,04:00:00,,False,
244,111,flowers2022,submitted,2011-08-02,2011-08-02,05:00:00,,False,
244,112,flowers2022,submitted,2011-08-02,2011-08-02,06:00:00,,False,
244,113,flowers2022,submitted,2011-08-02,2011-08-02,07:00:00,,False,
244,114,flowers2022,submitted,2011-08-02,2011-08-02,08:00:00,,False,
244,115,flowers2022,submitted,2011-08-02,2011-08-02,09:00:00,,False,
244,116,flowers2022,submitted,2011-08-02,2011-08-02,10:00:00,,False,
244,117,flowers2022,submitted,2011-08-02,2011-08-02,11:00:00,,False,
244,118,flowers2022,submitted,2011-08-02,2011-08-02,12:00:00,,False,
244,119,flowers2022,submitted,2011-08-02,2011-08-02,13:00:00,,False,
244,120,flowers2022,submitted,2011-08-02,2011-08-02,14:00:00,,False,
244,121,flowers2022,submitted,2011-08-02,2011-08-02,15:00:00,,False,
244,122,flowers2022,submitted,2011-08-02,2011-08-02,16:00:00,,False,
244,123,flowers2022,submitted,2011-08-02,2011-08-02,17:00:00,,False,
244,124,flowers2022,submitted,2011-08-02,2011-08-02,18:00:00,,False,
244,125,flowers2022,submitted,2011-08-02,2011-08-02,19:00:00,,False,
244,126,flowers2022,submitted,2011-08-02,2011-08-02,20:00:00,,False,
244,127,flowers2022,submitted,2011-08-02,2011-08-02,21:00:00,,False,
244,128,flowers2022,submitted,2011-08-02,2011-08-02,22:00:00,,False,
244,129,flowers2022,submitted,2011-08-02,2011-08-02,23:00:00,,False,
244,130,flowers2022,submitted,2011-08-03,2011-08-03,00:00:00,,False,
244,131,flowers2022,submitted,2011-08-03,2011-08-03,01:00:00,,False,
244,132,flowers2022,submitted,2011-08-03,2011-08-03,02:00:00,,False,
244,133,flowers2022,submitted,2011-08-03,2011-08-03,03:00:00,,False,
244,134,flowers2022,submitted,2011-08-03,2011-08-03,04:00:00,,False,
244,135,flowers2022,submitted,2011-08-03,2011-08-03,05:00:00,,False,
244,136,flowers2022,submitted,2011-08-03,2011-08-03,06:00:00,,False,
244,137,flowers2022,submitted,2011-08-03,2011-08-03,07:00:00,,False,
244,138,flowers2022,submitted,2011-08-03,2011-08-03,08:00:00,,False,
244,139,flowers2022,submitted,2011-08-03,2011-08-03,09:00:00,,False,
244,140,flowers2022,submitted,2011-08-03,2011-08-03,10:00:00,,False,
244,141,flowers2022,submitted,2011-08-03,2011-08-03,11:00:00,,False,
244,142,flowers2022,submitted,2011-08-03,2011-08-03,12:00:00,,False,
244,143,flowers2022,submitted,2011-08-03,2011-08-03,13:00:00,,False,
244,144,flowers2022,submitted,2011-08-03,2011-08-03,14:00:00,,False,
244,145,flowers2022,submitted,2011-08-03,2011-08-03,15:00:00,,False,
