borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrated,notes
845,73,kronenberg2022b,published,2018-02-03,2018-02-03,09:00:00,,,
845,74,kronenberg2022b,published,2018-02-03,2018-02-03,09:30:00,,,
845,75,kronenberg2022b,published,2018-02-03,2018-02-03,10:00:00,,,
845,76,kronenberg2022b,published,2018-02-03,2018-02-03,10:30:00,,,
845,77,kronenberg2022b,published,2018-02-03,2018-02-03,11:00:00,,,
845,78,kronenberg2022b,published,2018-02-03,2018-02-03,11:30:00,,,
845,79,kronenberg2022b,published,2018-02-03,2018-02-03,12:00:00,,,
845,80,kronenberg2022b,published,2018-02-03,2018-02-03,12:30:00,,,
845,81,kronenberg2022b,published,2018-02-03,2018-02-03,13:00:00,,,
845,82,kronenberg2022b,published,2018-02-03,2018-02-03,13:30:00,,,
845,83,kronenberg2022b,published,2018-02-03,2018-02-03,14:00:00,,,
845,84,kronenberg2022b,published,2018-02-03,2018-02-03,14:30:00,,,
845,85,kronenberg2022b,published,2018-02-03,2018-02-03,15:00:00,,,
845,86,kronenberg2022b,published,2018-02-03,2018-02-03,15:30:00,,,
845,87,kronenberg2022b,published,2018-02-03,2018-02-03,16:00:00,,,
845,88,kronenberg2022b,published,2018-02-03,2018-02-03,16:30:00,,,
845,89,kronenberg2022b,published,2018-02-03,2018-02-03,17:00:00,,,
845,90,kronenberg2022b,published,2018-02-03,2018-02-03,17:30:00,,,
845,91,kronenberg2022b,published,2018-02-03,2018-02-03,18:00:00,,,
845,92,kronenberg2022b,published,2018-02-03,2018-02-03,18:30:00,,,
845,93,kronenberg2022b,published,2018-02-03,2018-02-03,19:00:00,,,
845,94,kronenberg2022b,published,2018-02-03,2018-02-03,19:30:00,,,
845,95,kronenberg2022b,published,2018-02-03,2018-02-03,20:00:00,,,
845,96,kronenberg2022b,published,2018-02-03,2018-02-03,20:30:00,,,
845,97,kronenberg2022b,published,2018-02-03,2018-02-03,21:00:00,,,
845,98,kronenberg2022b,published,2018-02-03,2018-02-03,21:30:00,,,
845,99,kronenberg2022b,published,2018-02-03,2018-02-03,22:00:00,,,
845,100,kronenberg2022b,published,2018-02-03,2018-02-03,22:30:00,,,
845,101,kronenberg2022b,published,2018-02-03,2018-02-03,23:00:00,,,
845,102,kronenberg2022b,published,2018-02-03,2018-02-03,23:30:00,,,
845,103,kronenberg2022b,published,2018-02-04,2018-02-04,00:00:00,,,
845,104,kronenberg2022b,published,2018-02-04,2018-02-04,00:30:00,,,
845,105,kronenberg2022b,published,2018-02-04,2018-02-04,01:00:00,,,
845,106,kronenberg2022b,published,2018-02-04,2018-02-04,01:30:00,,,
845,107,kronenberg2022b,published,2018-02-04,2018-02-04,02:00:00,,,
845,108,kronenberg2022b,published,2018-02-04,2018-02-04,02:30:00,,,
845,109,kronenberg2022b,published,2018-02-04,2018-02-04,03:00:00,,,
845,110,kronenberg2022b,published,2018-02-04,2018-02-04,03:30:00,,,
845,111,kronenberg2022b,published,2018-02-04,2018-02-04,04:00:00,,,
845,112,kronenberg2022b,published,2018-02-04,2018-02-04,04:30:00,,,
845,113,kronenberg2022b,published,2018-02-04,2018-02-04,05:00:00,,,
845,114,kronenberg2022b,published,2018-02-04,2018-02-04,05:30:00,,,
845,115,kronenberg2022b,published,2018-02-04,2018-02-04,06:00:00,,,
845,116,kronenberg2022b,published,2018-02-04,2018-02-04,06:30:00,,,
845,117,kronenberg2022b,published,2018-02-04,2018-02-04,07:00:00,,,
845,118,kronenberg2022b,published,2018-02-04,2018-02-04,07:30:00,,,
845,119,kronenberg2022b,published,2018-02-04,2018-02-04,08:00:00,,,
845,120,kronenberg2022b,published,2018-02-04,2018-02-04,08:30:00,,,
845,121,kronenberg2022b,published,2018-02-04,2018-02-04,09:00:00,,,
845,122,kronenberg2022b,published,2018-02-04,2018-02-04,09:30:00,,,
845,123,kronenberg2022b,published,2018-02-04,2018-02-04,10:00:00,,,
845,124,kronenberg2022b,published,2018-02-04,2018-02-04,10:30:00,,,
845,125,kronenberg2022b,published,2018-02-04,2018-02-04,11:00:00,,,
845,126,kronenberg2022b,published,2018-02-04,2018-02-04,11:30:00,,,
845,127,kronenberg2022b,published,2018-02-04,2018-02-04,12:00:00,,,
845,128,kronenberg2022b,published,2018-02-04,2018-02-04,12:30:00,,,
845,129,kronenberg2022b,published,2018-02-04,2018-02-04,13:00:00,,,
845,130,kronenberg2022b,published,2018-02-04,2018-02-04,13:30:00,,,
845,131,kronenberg2022b,published,2018-02-04,2018-02-04,14:00:00,,,
845,132,kronenberg2022b,published,2018-02-04,2018-02-04,14:30:00,,,
845,133,kronenberg2022b,published,2018-02-04,2018-02-04,15:00:00,,,
845,134,kronenberg2022b,published,2018-02-04,2018-02-04,15:30:00,,,
845,135,kronenberg2022b,published,2018-02-04,2018-02-04,16:00:00,,,
845,136,kronenberg2022b,published,2018-02-04,2018-02-04,16:30:00,,,
845,137,kronenberg2022b,published,2018-02-04,2018-02-04,17:00:00,,,
845,138,kronenberg2022b,published,2018-02-04,2018-02-04,17:30:00,,,
845,139,kronenberg2022b,published,2018-02-04,2018-02-04,18:00:00,,,
845,140,kronenberg2022b,published,2018-02-04,2018-02-04,18:30:00,,,
845,141,kronenberg2022b,published,2018-02-04,2018-02-04,19:00:00,,,
845,142,kronenberg2022b,published,2018-02-04,2018-02-04,19:30:00,,,
845,143,kronenberg2022b,published,2018-02-04,2018-02-04,20:00:00,,,
845,144,kronenberg2022b,published,2018-02-04,2018-02-04,20:30:00,,,
845,145,kronenberg2022b,published,2018-02-04,2018-02-04,21:00:00,,,
845,146,kronenberg2022b,published,2018-02-04,2018-02-04,21:30:00,,,
845,147,kronenberg2022b,published,2018-02-04,2018-02-04,22:00:00,,,
845,148,kronenberg2022b,published,2018-02-04,2018-02-04,22:30:00,,,
845,149,kronenberg2022b,published,2018-02-04,2018-02-04,23:00:00,,,
845,150,kronenberg2022b,published,2018-02-04,2018-02-04,23:30:00,,,
845,151,kronenberg2022b,published,2018-02-05,2018-02-05,00:00:00,,,
845,152,kronenberg2022b,published,2018-02-05,2018-02-05,00:30:00,,,
845,153,kronenberg2022b,published,2018-02-05,2018-02-05,01:00:00,,,
845,154,kronenberg2022b,published,2018-02-05,2018-02-05,01:30:00,,,
845,155,kronenberg2022b,published,2018-02-05,2018-02-05,02:00:00,,,
845,156,kronenberg2022b,published,2018-02-05,2018-02-05,02:30:00,,,
845,157,kronenberg2022b,published,2018-02-05,2018-02-05,03:00:00,,,
845,158,kronenberg2022b,published,2018-02-05,2018-02-05,03:30:00,,,
845,159,kronenberg2022b,published,2018-02-05,2018-02-05,04:00:00,,,
845,160,kronenberg2022b,published,2018-02-05,2018-02-05,04:30:00,,,
845,161,kronenberg2022b,published,2018-02-05,2018-02-05,05:00:00,,,
845,162,kronenberg2022b,published,2018-02-05,2018-02-05,05:30:00,,,
845,163,kronenberg2022b,published,2018-02-05,2018-02-05,06:00:00,,,
845,164,kronenberg2022b,published,2018-02-05,2018-02-05,06:30:00,,,
845,165,kronenberg2022b,published,2018-02-05,2018-02-05,07:00:00,,,
845,166,kronenberg2022b,published,2018-02-05,2018-02-05,07:30:00,,,
845,167,kronenberg2022b,published,2018-02-05,2018-02-05,08:00:00,,,
845,168,kronenberg2022b,published,2018-02-05,2018-02-05,08:30:00,,,
845,169,kronenberg2022b,published,2018-02-05,2018-02-05,09:00:00,,,
845,170,kronenberg2022b,published,2018-02-05,2018-02-05,09:30:00,,,
845,171,kronenberg2022b,published,2018-02-05,2018-02-05,10:00:00,,,
845,172,kronenberg2022b,published,2018-02-05,2018-02-05,10:30:00,,,
