depth_m;temperature_degC
-69.25;0
-67.25;0
-65.25;-0.05
-63.25;-0.05
-61.25;0
-59.25;-0.1
-54.25;-0.24
-49.25;-0.4
-44.25;-0.6
-39.25;-0.65
-34.25;-0.86
-29.25;-1.02
-24.25;-1.2
-19.25;-1.49
-14.25;-1.82
