depth_m;temperature_degC
-65;-1.25
-63;-1.2
-61;-1.25
-59;-1.25
-57;-1.25
-55;-1.25
-50;-1.3
-45;-1.4
-40;-1.45
-35;-1.6
-30;-1.75
-25;-1.86
-20;-2.15
-15;-2.29
-10;-2.55
