depth_m;temperature_degC
-70;-0.05
-68;-0.08
-66;-0.1
-64;-0.18
-62;-0.06
-60;-0.1
-55;-0.05
-50;-0.12
-45;-0.22
-40;-0.27
-35;-0.35
-30;-0.5
-25;-0.66
-20;-0.9
-15;-1.31
