depth_m;temperature_degC
-50;-0.05
-48;0
-46;-0.05
-44;0
-42;-0.38
-40;-0.39
-35;-0.68
-30;-0.85
-25;-1.1
-20;-1.4
-15;-1.69
-10;-2
-5;
