depth_m;temperature_degC
-66;-0.05
-64;-0.05
-62;0
-60;0
-58;-0.05
-56;-0.1
-51;-0.4
-46;-0.46
-41;-0.5
-36;-0.65
-31;-0.8
-26;-1.1
-21;-1.2
-16;-1.55
-11;-1.96
