depth_m ; temperature_degC
-11.596000000000004 ; -1.394606402286513
-16.596000000000004 ; -1.102880918535618
-21.596000000000004 ; -1.0268214174906802
-26.596000000000004 ; -0.815029210303237
-31.596000000000004 ; -0.825534804720121
-36.596000000000004 ; -0.6412006227330949
-41.596000000000004 ; -0.5632750690419357
-46.596000000000004 ; -0.40216978440042794
-51.596000000000004 ; -0.38426475493827184
-56.596000000000004 ; -0.2418620436569654
-61.596000000000004 ; -0.1535886457792799
-66.596 ; -0.06854918396982157
