depth_m ; temperature_degC
-11.596000000000004 ; -1.3060550887913678
-16.596000000000004 ; -1.1221931546265864
-21.596000000000004 ; -1.01434637569389
-26.596000000000004 ; -0.7862843838657909
-31.596000000000004 ; -0.7195137343738338
-36.596000000000004 ; -0.6015691393043312
-41.596000000000004 ; -0.5206359284492805
-46.596000000000004 ; -0.3634739068933186
-51.596000000000004 ; -0.33404135050960804
-56.596000000000004 ; -0.08165676793839793
-61.596000000000004 ; -0.11656655644372904
-66.596 ; -0.07291937480397337
