depth_m ; temperature_degC
-6.996000000000095 ; -1.1139188782733527
-11.996000000000095 ; -1.2040524888653863
-16.996000000000095 ; -1.0959789459441254
-21.996000000000095 ; -0.8989124869357283
-26.996000000000095 ; -0.8905407327733315
-31.996000000000095 ; -0.6320077803839581
-36.996000000000095 ; -0.5739200094226362
-41.996000000000095 ; -0.4878813968010718
-46.996000000000095 ; -0.3978741053368253
-51.996000000000095 ; -0.2505227333412563
-56.996000000000095 ; -0.06854918396982157
-61.996000000000095 ; -0.14488400021673442
